County,<1,1-4,5-9,10-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
Alachua,2877,10081,12852,11865,22904,39757,37713,25967,26727,28564,18360,8954,4076
Baker,361,1469,1913,1949,1724,1858,3836,3622,3917,3308,2034,974,285
Bay,2257,8294,10685,10188,10269,11346,23549,20839,24677,22634,15233,8416,3374
Bradford,278,1281,1587,1492,1343,1846,4113,3606,3933,3591,2540,1303,547
Brevard,5221,22051,28721,30155,30580,32841,59820,57671,82667,86077,62357,39591,16527
Broward,21954,82941,107185,108399,111648,118421,229586,230682,269377,233360,149874,84888,47999
Calhoun,130,726,887,817,816,932,2033,1969,2085,1917,1380,758,278
Charlotte,1003,4685,6092,6518,6638,6951,12347,13412,21038,28610,30325,19584,7724
Citrus,1008,4479,5778,6053,6168,6473,10888,12018,18571,24148,24853,15626,6109
Clay,2056,10226,13305,14535,13997,13708,23398,25557,29447,24606,16228,7422,2556
Collier,3271,14135,18277,18585,17948,18154,34018,34771,42402,46460,48479,32011,11635
Columbia,820,3293,4190,4095,4134,4943,8457,7866,9308,9587,6734,3434,1285
Miami-Dade,31357,122407,157002,154490,163813,180408,366483,363458,382946,301752,206106,131050,54138
Desoto,380,1795,2252,2075,2179,2460,4656,4055,4128,4084,3522,2126,728
Dixie,168,672,840,853,788,932,1812,1878,2468,2626,2109,1001,296
Duval,12370,47546,58662,55686,57146,63618,132898,113512,121733,109135,65919,32150,14439
Escambia,3842,14814,18922,18979,19842,23828,42867,32496,39209,39695,26936,14864,6127
Flagler,821,4122,5412,5875,5586,5484,9465,10961,12919,15495,14865,7956,2719
Franklin,99,445,583,531,485,718,1808,1468,1615,1661,1353,651,206
Gadsden,530,2662,3064,2962,2696,3229,6310,6155,6679,6782,4198,2062,751
Gilchrist,165,744,936,984,1264,1524,1689,1770,2310,2468,1858,904,408
Glades,59,616,693,670,680,759,1630,1493,1629,1674,1635,1021,227
Gulf,110,513,666,691,750,1043,2403,2292,2565,2290,1672,903,305
Hamilton,143,616,783,787,897,1416,1898,1720,1976,2052,1407,616,224
