County,Hispanic,Other.Ethnic
Alachua,23363,227334
Baker,628,26622
Bay,9600,162161
Bradford,982,26478
Brevard,50932,503347
Broward,470246,1326068
Calhoun,851,13877
Charlotte,10668,154259
Citrus,7156,135016
Clay,17036,180005
Collier,94533,245613
Columbia,3663,64483
Miami-Dade,1737662,877748
Desoto,10968,23472
Dixie,631,15812
Duval,74837,809977
Escambia,16510,285911
Flagler,10277,91403
Franklin,560,11063
Gadsden,5138,42942
Gilchrist,1024,16000
Glades,3072,9714
Gulf,769,15434
Hamilton,1455,13080
Hardee,12333,15350
Hendry,19937,17998
Hernando,20394,156921
Highlands,19065,80969
Hillsborough,342546,960315
Holmes,542,19541
Indian River,17641,124105
Jackson,2482,47855
Jefferson,677,13977
Lafayette,1108,7579
Lake,43177,268019
Lee,134171,525629
Leon,17456,263525
Levy,3569,37253
Liberty,538,8096
Madison,1036,18478
Manatee,56658,283397
Marion,41307,300345
Martin,20919,129086
Monroe,16212,57372
Nassau,3157,73167
Okaloosa,14163,175377
Okeechobee,10356,29642
Orange,355137,878656
Osceola,145242,154215
Palm Beach,283324,1079059
Pasco,63616,421025
Pinellas,83938,844795
Polk,126884,499348
Putnam,7288,65323
Saint Johns,12991,196361
Saint Lucie,50831,237057
Santa Rosa,8964,151542
Sarasota,35274,354637
Seminole,81169,354852
Sumter,6832,103845
Suwannee,4724,39649
Taylor,875,22262
Union,855,14938
Volusia,60533,442646
Wakulla,1269,30084
Walton,3546,55700
Washington,735,24190
