County,Total
Alachua,250697
Baker,27250
Bay,171761
Bradford,27460
Brevard,554279
Broward,1796314
Calhoun,14728
Charlotte,164927
Citrus,142172
Clay,197041
Collier,340146
Columbia,68146
Miami-Dade,2615410
Desoto,34440
Dixie,16443
Duval,884814
Escambia,302421
Flagler,101680
Franklin,11623
Gadsden,48080
Gilchrist,17024
Glades,12786
Gulf,16203
Hamilton,14535
Hardee,27683
Hendry,37935
Hernando,177315
Highlands,100034
Hillsborough,1302861
Holmes,20083
Indian River,141746
Jackson,50337
Jefferson,14654
Lafayette,8687
Lake,311196
Lee,659800
Leon,280981
Levy,40822
Liberty,8634
Madison,19514
Manatee,340055
Marion,341652
Martin,150005
Monroe,73584
Nassau,76324
Okaloosa,189540
Okeechobee,39998
Orange,1233793
Osceola,299457
Palm Beach,1362383
Pasco,484641
Pinellas,928733
Polk,626232
Putnam,72611
Saint Johns,209352
Saint Lucie,287888
Santa Rosa,160506
Sarasota,389911
Seminole,436021
Sumter,110677
Suwannee,44373
Taylor,23137
Union,15793
Volusia,503179
Wakulla,31353
Walton,59246
Washington,24925
