County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Florida,1.28,1.28,1.31,1.3,1.26,1.29,1.27,1.29,1.24,1.32
Alachua,1.34,1.49,1.35,1.58,1.69,1.62,1.3,1.58,2.04,1.79
Baker,1.69,1.85,0.98,1.52,1.08,1.51,0.62,1.79,2.69,1.43
Bay,1.16,1.26,1.51,1.35,1.12,1.44,1.1,1.2,0.92,1.5
Bradford,0.61,1.13,1.14,1.72,1.62,0.3,0.65,2.35,2.33,1.81
Brevard,1,1.4,1.1,1.14,0.82,0.79,0.81,1.22,1.2,0.96
Broward,1.43,1.54,1.48,1.46,1.47,1.42,1.65,1.5,1.45,1.61
Calhoun,2.63,2.78,1.7,1.23,0.59,1.32,0.69,0.68,1.47,1.6
Charlotte,1.04,0.95,0.52,1.11,0.52,1.4,1.05,1.2,0.6,0.82
Citrus,0.91,0.9,0.79,0.74,0.84,1.67,1.14,0.68,1.01,0.61
Clay,1.07,1.06,0.8,1.09,1.08,0.98,1.23,1.15,0.64,1.18
Collier,0.81,0.96,1.06,1.02,0.96,1.2,1.26,1.15,1.08,0.94
Columbia,1.58,1.44,2.04,1.15,1.67,1.52,0.27,1.59,1.38,1.5
DeSoto,1.02,0.83,0.21,1.31,0.68,0.93,1.34,0.83,0.28,0
Dixie,1.2,2.31,2.22,1.17,0.51,1.94,0.67,0.67,1.28,0
Duval,1.55,1.55,1.7,1.41,1.55,1.56,1.19,1.72,1.34,1.43
Escambia,1.43,1.31,1.35,1.66,1.19,1.33,1.54,1.06,1.29,1.23
Flagler,1.04,1.34,0.95,0.91,0.82,1.18,1.05,0.89,1.19,1.13
Franklin,2.52,0.81,2.44,0.85,1.61,0.89,2.13,0.92,0,1.05
Gadsden,2.4,2.31,2.19,0.99,1.35,2.19,1.39,2.38,1.66,1.56
Gilchrist,0,1.12,0,0.52,0.54,0.56,1.69,1.49,0,1.23
Glades,0,0,3.09,1.15,1.16,2.67,0,0,0,1.72
Gulf,3.23,0.79,1.46,1.49,0.76,0,0.78,1.72,0.76,0.87
Hamilton,1.6,2.27,4.12,1.27,0,0.58,0.65,0.75,0.64,1.43
Hardee,0.89,1.53,1.79,0.61,0.63,1.89,0.8,0.78,0.78,1.24
