County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Florida,1.88,1.87,1.89,1.9,1.86,1.91,1.82,1.83,1.77,1.94
Alachua,1.77,2.14,2.33,2.07,2.22,2.16,1.65,1.69,2.15,2.08
Baker,1.69,2.64,0.73,2.28,1.35,1.81,2.46,2.69,2.39,1.14
Bay,2.49,1.6,2.48,1.48,1.52,1.96,1.49,1.92,1.89,1.95
Bradford,1.53,1.42,1.99,2.29,2.59,1.48,0.97,2.68,1.67,3.26
Brevard,1.73,2.12,1.68,1.97,1.29,1.39,1.67,1.95,1.91,1.47
Broward,1.98,1.98,2.03,1.92,2.04,1.85,2.06,1.91,1.85,2.12
Calhoun,3.29,2.22,2.84,1.23,1.18,1.32,1.38,1.36,0.74,1.6
Charlotte,1.9,1.3,1.21,1.7,0.83,2.31,1.36,1.6,1.2,1.44
Citrus,1.82,1.62,1.5,1.67,1.96,2.25,1.14,1.57,1.41,1.43
Clay,1.81,1.41,1.23,1.5,1.22,1.52,1.28,1.8,1.28,1.58
Collier,1.51,1.81,1.84,1.82,1.89,2.01,1.87,1.71,1.77,1.45
Columbia,2.3,2.52,2.83,2.07,2.51,2.41,0.93,2.11,2.26,2
DeSoto,3.27,1.87,0.85,2.19,2.71,1.86,2.41,1.66,0.84,0.79
Dixie,2.41,3.47,3.89,1.75,1.54,1.94,1.33,2.01,1.28,0.61
Duval,2.17,2.04,2.26,2.05,2.07,2.17,1.84,2.36,1.79,1.91
Escambia,1.87,2.4,2.06,2.22,1.9,1.83,2.49,1.74,1.92,2.25
Flagler,2.24,2,1.69,1.49,1.41,1.77,1.57,1.91,1.72,1.63
Franklin,3.36,0,4.88,1.69,0.81,1.79,2.13,1.83,0.94,1.05
Gadsden,2.96,2.59,2.88,2.12,1.8,1.72,1.91,2.78,1.66,2.72
Gilchrist,1.6,1.12,0.51,1.56,0.54,0.56,1.69,2.49,0.52,0.61
Glades,1.3,1.03,6.19,1.15,3.49,4,1.45,0,1.54,1.72
Gulf,2.42,3.94,2.19,1.49,1.52,0,4.69,1.72,0,1.74
Hamilton,2.66,2.84,4.12,3.16,1.11,2.31,1.96,0,0.64,1.43
Hardee,2,3.44,2.38,1.82,1.89,2.84,1.33,1.81,2.33,1.49
Hendry,1.22,1.69,1.86,1.61,2.45,1.16,1.54,1.55,1.81,1.06
Hernando,1.11,1.66,1.6,2.25,1.22,1.47,1.34,1.63,2.03,2.05
Highlands,1.85,1.4,1.69,2.55,1.43,2.1,2.26,1.81,1.2,2.29
Hillsborough,1.67,1.85,1.71,1.98,1.71,1.97,1.8,1.63,1.56,1.55
Holmes,0.41,2.84,1.82,1.46,1.78,3.03,2.66,1.07,0.59,1.46
Indian River,1.81,1.74,1.38,1.26,1.21,1.42,2.03,1.42,1.26,1.12
Jackson,1.8,1.74,1.5,2.74,2.08,0.81,1.33,2.85,2.5,2.02
Jefferson,1.25,1.22,2.03,1.23,2.61,0.83,0.79,3.01,3.88,2.36
Lafayette,1.79,2.3,1.08,1.01,1.37,1.11,4.71,0,0,1.35
Lake,1.38,1.8,1.76,1.38,1.06,1.56,1.82,1.87,1.94,2.3
Lee,1.78,1.95,1.91,1.74,1.68,1.62,1.71,2.4,2.39,2.02
Leon,1.83,2.11,1.56,1.53,1.56,1.77,2.02,1.96,1.9,2.21
Levy,2.47,2.3,0.62,2.16,1.38,2.22,2.72,1.08,1.04,1.52
Liberty,0.93,1.87,0.89,1.08,0,2.86,1.18,0,1.19,2.38
Madison,2.04,0.82,1.44,2.15,0.92,2.49,2.87,3.85,2.39,2.7
Manatee,2.03,1.92,2.04,1.78,1.94,2.08,2.05,1.77,1.68,1.69
Marion,2.01,2.53,1.73,2.06,1.67,2.01,1.78,1.71,1.64,2.27
Martin,1.3,1.18,1.59,1.94,1.34,1.34,0.96,1.19,2.12,1.63
Miami-Dade,2.01,1.94,2.05,2.06,2.01,2.36,1.68,1.76,1.46,1.82
Monroe,2.01,3.13,1.9,2.75,1.87,1.17,0.86,1.44,2.65,0.83
Nassau,2.02,2.86,1.71,0.5,1.34,2.02,2.04,1.79,1.12,1.53
Okaloosa,1.32,0.81,1.99,1.74,1.55,1.3,0.91,1.5,1.34,1.92
Okeechobee,2.1,2.16,1.94,1.55,3.06,1.89,0.96,0.59,1.78,0.91
Orange,1.69,1.86,1.9,2.22,2.13,2.31,2.08,2.03,2.67,2.52
Osceola,1.49,2.03,1.85,1.57,1.59,1.28,1.7,1.92,2.05,2.14
Palm Beach,2,1.69,1.95,1.8,2.24,1.72,2.04,1.66,1.69,2.12
Pasco,1.95,1.72,1.31,1.46,1.3,1.59,1.71,1.53,1.47,1.38
Pinellas,2.08,1.65,1.73,2.17,1.94,2.15,1.95,1.78,1.69,1.79
Polk,2.06,2,2.18,1.9,2.2,1.7,1.93,1.78,2.02,2.02
Putnam,3.18,2.32,1.7,2.84,2.67,1.84,1.35,1.49,2.55,2.35
Santa Rosa,1.3,1.22,1.86,1.35,1.12,1.37,1.6,1.16,1.32,1.14
Sarasota,1.83,1.73,1.48,1.78,1.34,1.36,1.55,1.7,1.45,1.18
Seminole,1.62,1.46,1.41,1.33,1.65,1.16,1.73,1.78,1.77,1.68
St. Johns,1.43,0.88,1.12,1.11,1.24,0.69,1.38,1.1,2.16,0.89
St. Lucie,1.81,1.98,2.23,1.68,2.21,1.67,1.31,2.31,1.79,1.91
Sumter,1.04,2.19,0.97,2.19,1.27,3.23,1.69,2.4,2.24,2.77
Suwannee,1.53,2.63,2.67,2.39,1.7,2.26,2.32,1.6,1.53,3.04
Taylor,2.54,1.63,1.5,2.39,0.71,3.07,2.99,1.39,0.82,1.9
Union,0.66,0.6,2.33,1.13,1.34,1.75,0.61,4.05,1.69,0
Volusia,1.48,1.45,1.64,1.82,1.67,1.69,1.94,1.86,1.93,1.88
Wakulla,0.72,1.99,2.12,1.72,0.96,1.89,0.67,1.54,0.67,1.22
Walton,3.23,1.05,1.26,1.26,2.35,0.82,2.3,1.41,1.61,0.98
Washington,2.06,1.99,0.71,1.08,2.32,2.95,2.15,2.69,1.68,2.1
