County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,23.35,22.26,22.77,21.82,19.67,19.71,19.27,19.72,19,16.56
Alachua,18.67,13.8,20.15,23.2,13.69,21.08,21.65,17.32,18.48,15.21
Baker,9.04,8.77,28.58,11.33,9.83,5.37,19.5,26.44,18.17,9.57
Bay,30.22,24.97,12.54,20.77,21.38,17.96,23.13,22.1,15.65,10.73
Bradford,18.01,16.89,17.83,26.42,6.76,26.33,9.1,12.56,6,23.96
Brevard,26.93,30.2,31.71,27.85,23.48,26.38,23.86,24.01,21.5,23.2
Broward,25.43,21.82,23.58,21.99,18.91,19.26,19.5,20.79,18.07,16.01
Calhoun,13.8,19.9,19.47,12.81,10.04,0,5.72,17.72,4.93,22.02
Charlotte,24.73,21.99,17.68,24.12,24.5,24.2,21.85,21.05,20.85,21.2
Citrus,24.4,18.1,24.98,27.78,26.4,20.23,28.12,23.59,25.55,7.8
Clay,18.08,18.18,30.11,21.45,20.37,20.58,26.77,27.96,19.05,21.38
Collier,26.78,24.57,25.81,22.31,21.11,22.96,20.64,20.47,15.11,6.63
Columbia,25.02,19.67,21.88,17.19,17.69,12.16,19.18,14.98,17.66,15.65
DeSoto,21.32,15.83,13.73,10.13,8.33,22.82,17.3,19.26,25.94,9.26
Dixie,29.47,21.59,18.22,13.4,19,16.38,7.96,6.38,15.19,17.35
Duval,20.73,23.14,21.88,19.84,20.77,23.3,20.18,19.84,23.51,18.81
Escambia,20.85,20.45,18.28,17.48,17.87,18.52,19.2,21.97,21.29,18.17
Flagler,21.97,20.32,23.86,24.64,14.8,13.14,16.5,19.29,22.43,19.37
Franklin,8.93,7.47,13.84,5.92,10.57,15.72,19.73,27.37,10.29,8.16
Gadsden,8.42,26.83,14.73,15.47,6.32,4.46,10.22,14.39,5.71,8.47
Gilchrist,10.82,19.12,39.91,23.2,38.78,31.36,10.13,22.58,22,18.92
Glades,11.07,4.98,10.78,10.93,9.86,0,15.74,22.24,5.14,3.91
Gulf,21.37,17.27,31.98,20.34,11.07,25.31,4.62,13.31,24.11,23.33
Hamilton,15.09,6.61,7.46,14.71,12.8,0,21.78,7.17,7.63,4.44
Hardee,24.46,25.43,15.07,7.07,10.55,6.49,10.53,10.25,7.06,10.88
Hendry,25.03,7.23,30.59,12.27,16.15,15.42,15.44,21.18,14.48,13.56
Hernando,27.15,28.91,22.63,19.27,24.19,21.82,15.85,25.56,19.56,20.75
Highlands,18.24,19.78,15.86,23.9,16.14,15.66,14.85,10.29,18.8,22.6
Hillsborough,19.67,21.38,21.61,21.45,17.32,17.78,18.83,18.03,17.34,16.66
Holmes,24.5,25.85,12.43,12.09,24.8,15.29,15.91,0,21.13,13.67
Indian River,37.42,19.94,27.7,24.17,17.21,17.53,23.06,23.66,15.93,18.09
Jackson,15.15,20.55,19.23,14.52,17.37,15.44,18.1,7.6,10.86,9.13
Jefferson,31.09,19.45,19.54,10.55,11.83,4.38,20.45,4.2,4.59,5.76
Lafayette,12.7,12.58,30.4,0,0,26.07,0,23.92,0,0
Lake,25.3,28.68,24.73,28.2,30.21,23.79,19.95,25.63,23.64,23.58
Lee,23.6,21.33,22.47,20.79,15.95,21.11,14.83,20.05,16.4,14.07
Leon,9.38,15.65,8.44,9.49,8.57,8.96,7.31,8,7.25,7.73
Levy,21.74,14.99,25.93,28.65,19.87,20.96,26.66,26.38,16.68,27.02
Liberty,41.13,0,14.19,30.09,15.2,0,10.84,14.01,15.05,0
Madison,9.67,14.05,4.4,16.97,8.57,32.22,12.76,0,10.59,3.26
Manatee,22.28,20.33,19.88,22.12,22.16,20.46,22.69,18.87,19.07,14.87
Marion,27.68,21.19,22.73,24.98,18.47,18.69,22.36,20.27,20.03,15
Martin,18.55,23.26,26.27,27.95,25.9,23.69,21.5,21.3,22.37,20.86
Miami-Dade,17.6,17.33,18.23,16.76,14.55,14.75,15.25,16.77,14.98,12.51
Monroe,26.22,17.93,25.71,18.78,19.63,10.35,14.52,15.52,19.15,13.81
Nassau,28.39,17.24,17.9,26.7,23.71,19.4,17.59,17.26,31.16,25.55
Okaloosa,29.78,36.85,23.72,26.6,21.88,28.36,32.82,21.56,26.26,17.56
Okeechobee,31.99,22.85,13.01,40.03,22.1,19.34,29.36,22.92,26.8,24.31
Orange,19.51,21.26,19.33,19.35,17.37,18.5,17.98,17.72,16.92,14.78
Osceola,28.11,17.44,23.03,21.72,16.88,17.23,18.22,20.57,21.86,15.26
Palm Beach,29.43,26.81,24.94,22.95,25.67,21.01,21.73,21.17,22.29,18.43
Pasco,26.75,24.99,29.86,26.76,22.66,22.16,21.08,21.22,23.18,20.86
Pinellas,23.9,24.13,26.53,23.61,23.14,22.69,22.06,21.92,21.25,18.3
Polk,23.9,22.97,22.73,21.56,19.13,17.39,20.03,20.07,18.53,20.08
Putnam,26.34,16.99,26.26,22.33,15.26,21.53,26.04,12.84,18.66,20.23
Santa Rosa,24.43,28.9,22.84,23.25,18.54,29.23,17.83,9.08,18.48,23.97
Sarasota,25.89,25.36,25.69,24.27,20.92,18.13,17.89,19.66,25.33,19.3
Seminole,18.65,24.17,17.15,21.82,18.6,19.52,15.43,17.83,14.55,11.98
St. Johns,22.48,21.04,28.22,22.44,13.99,17.85,17.78,18.39,13.44,19.55
St. Lucie,24.09,19.87,19.28,18.94,25.96,17.76,21.4,20.82,14.74,12.97
Sumter,13.23,20.03,20.26,25.71,24.43,31.15,20.67,29.77,23.22,19.17
Suwannee,17.52,23.09,21.6,28.96,17.69,24.24,11.48,14.23,9.89,12.2
Taylor,8.78,0,12.98,26.14,0,8.17,4.15,18.75,22.44,12.63
Union,51.01,71.02,32.4,40.26,27.5,53.15,42.4,59.43,46.4,76.06
Volusia,24.38,19.13,22.55,19.48,14.84,21.38,13.99,17.31,14.58,14.9
Wakulla,14.94,5.28,9.76,57.42,8.43,19.31,10.6,2.14,17.13,7.43
Walton,21.16,13.5,18.86,13.93,15.84,11.81,16.44,11.04,22.44,19.04
Washington,11.03,18.27,18.09,14.48,14.4,6.41,11.79,16.46,14.22,6.75
