County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,31.18,29.32,29.67,30.04,30.24,29.96,30.91,31.24,29.07,28.51
Alachua,35.4,34.06,29.17,41.91,40.49,22.53,33.06,38.78,46.52,28.6
Baker,73.69,27.62,28.85,43.34,16.98,9.79,7.59,26.65,23.19,16.78
Bay,41.49,27.31,22.71,26.63,30.75,18.63,17.74,38.32,19.86,36.23
Bradford,0,48.4,40.59,36.04,18.04,11.88,11.06,8.48,16.08,8.36
Brevard,37.36,38.85,32.02,30,36.71,29.88,37.21,29.43,28.24,31.33
Broward,30.86,29.17,28.35,32.85,31.39,35.19,33.73,34.05,31.49,32.27
Calhoun,0,19.49,0,36.49,66,0,16.97,36.58,31.15,20.01
Charlotte,33.8,27.5,30.89,27.3,25.54,29.91,35.61,22.4,25.64,24.08
Citrus,25.83,33.72,10.81,29.83,21.67,29.95,34.94,35.33,22.94,22.94
Clay,31.76,24.67,33.74,20.35,32.13,29.05,19.1,24.55,33.93,23.48
Collier,31.96,24.87,29.93,28.91,17.47,27.39,32.15,30.24,25.14,24.01
Columbia,40.95,48.06,27.24,19.16,12.35,10.07,18.36,13.84,17.96,22.06
DeSoto,0,25.76,8.96,21.68,40.79,30.88,30.84,28.12,42.18,0
Dixie,37.29,71.66,32.69,50.71,0,59.89,15.34,0,23.97,23.41
Duval,33.18,30.98,31.32,31.63,34.26,36.12,35.63,34.23,33.48,32.98
Escambia,29.99,33.09,32.33,31.69,32.72,21.13,27.54,25.68,27.71,28.68
Flagler,40.7,49.18,43.45,19.76,32.61,17.43,28.47,45.38,25.09,42.09
Franklin,49.99,19.23,105.32,50.97,0,30.48,18.49,0,0,21.15
Gadsden,32.57,38.39,43.05,38.23,18.69,46.49,32.16,34.07,18.05,22.2
Gilchrist,0,27.6,12.43,12.12,63.99,14.24,26.47,15.3,12.37,25.39
Glades,0,26.05,21.85,0,0,0,0,75.96,0,0
Gulf,33.58,51,31.37,21.54,22.92,14.87,14.72,40.44,0,0
Hamilton,41.44,0,79.6,18.26,20.19,18.26,18.26,59.44,39.93,22.43
Hardee,29.31,10.91,21.4,0,19.49,0,9.55,31.14,8.38,11.34
Hendry,7.24,15,29.14,35.35,35.39,30.03,14.25,15.02,47.43,24.23
Hernando,35.88,28.83,29,32.33,30.3,28.89,22.34,25.56,31.18,27.7
Highlands,24.87,32.61,17.84,22.29,24.79,21.65,12.31,36.93,16.5,25.79
Hillsborough,30.31,33.62,30.4,31.91,33.45,34.56,35.59,31.6,32.74,26.9
Holmes,22.89,11.36,24.88,27.1,13.31,0,0,10.94,23,48.21
Indian River,34.32,19.66,23.47,35.2,40.43,32.53,30.59,11.5,17.92,19.45
Jackson,22.93,19.44,25.26,8.98,31.12,5.76,37.19,11.15,9.26,9.46
Jefferson,13.74,64.92,24.87,36.86,63.26,16.54,19.46,0,18.23,53.22
Lafayette,40.38,70.36,0,40.93,36.06,0,0,0,0,41.13
Lake,29.08,27.61,30.47,24.04,35.83,26.57,37.69,29.81,25.25,40
Lee,35.82,35.55,30.73,36.29,33.46,23.51,30.63,34.03,30.88,33.79
Leon,39.33,27.16,29.95,29.74,30.35,22.57,39.82,26.06,29,23.25
Levy,25.04,12.7,4.81,58.89,16.67,11.54,23.15,31.13,0,9.38
Liberty,0,34.34,0,71.18,0,0,0,30.69,28.39,0
Madison,51.2,23.11,26.62,33.8,23.08,40.21,14.75,28.07,29.48,15.13
Manatee,19.73,18.76,32.34,26.01,17.06,27.6,31.37,29.99,30.28,24.16
Marion,32.13,24.11,21.97,34.63,29.39,30.06,24.7,32.79,26.94,29.07
Martin,33.96,48.99,34.11,28.16,33.23,24.54,29.06,55.55,30.3,34.77
Miami-Dade,29.65,26.33,27.99,27.11,28.09,30.73,26.43,29.6,24.34,27.07
Monroe,25.99,18.33,30.07,24.92,21.34,29.42,28.63,32.04,27.83,15.62
Nassau,31.87,27.01,19.76,31.38,24.79,22.7,31.77,22.32,25.73,33.58
Okaloosa,39.02,28.27,37.75,42.13,34.94,27.24,39.33,35.5,28.7,26.53
Okeechobee,20.22,40.71,20.81,34.82,32.61,26.17,31.07,55.71,55.61,27.52
Orange,34.41,28.7,32.09,33.13,27.49,28.59,29.37,29.85,29.03,28.8
Osceola,35.69,36.26,27.84,20.51,28.62,26.97,25.65,31.38,34.11,29.56
Palm Beach,31.08,28.8,30.4,35.06,29.62,30.49,34.06,34.38,32.97,30.26
Pasco,30.28,29.46,34.64,28.35,30.71,31.2,30.17,25.88,31.83,32.67
Pinellas,31.86,31,31.47,30.8,34.35,35.21,32.32,35.62,28.51,31.91
Polk,31.34,22.86,36.06,18.79,24.67,26.03,28.12,26.4,32.05,25.6
Putnam,16.49,28.63,22.96,17.72,31.08,31.9,14.16,23.44,28.35,24.03
Santa Rosa,26.22,45.24,12.93,32.89,22.45,34.28,40.51,32.03,28.67,36.02
Sarasota,25.33,33.9,35.69,29.64,34.76,27.32,36.07,39.03,37.95,26.68
Seminole,27.93,24.49,23.3,28.01,28.65,30.4,27.17,25.38,27.32,19.26
St. Johns,37.12,30.04,27.57,22.02,31.5,36.14,29.63,33.28,23.81,27.98
St. Lucie,24.64,22.96,28.85,28.77,35.38,23.3,30.9,30.41,27.78,20.72
Sumter,38.1,15.31,18.17,29.01,19.23,20.92,25.1,15.35,21.59,29.89
Suwannee,19.73,28.08,24.78,15.98,24.89,19.43,35.7,7.58,11.58,21.37
Taylor,57.46,12.22,56.11,55.18,46.56,0,13.57,78.42,14.49,14.28
Union,40.75,20.46,38.05,82.05,139.95,104.91,45.18,132.81,20.42,101.27
Volusia,27.35,25.59,33.4,21.94,27.27,27.07,35.73,30.07,25.04,23.75
Wakulla,30.1,29.55,8.99,13.93,6.44,32.34,27.86,22.62,23.12,33.51
Walton,33.54,25.76,39.53,32.24,20.84,38.75,32.93,11.36,21.72,23.27
Washington,21.68,10.02,0,23.92,22.01,8.64,0,8.64,17.32,12.05
