County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,13.06,13.61,13.75,14.05,14.33,13.89,14.37,14.09,13.42,13.09
Alachua,15.59,19.95,13.36,25.55,17.24,15.83,15.67,14.42,14.02,14.44
Baker,15.82,4.19,14.64,19.78,33.57,21,23.34,18.49,28,14.75
Bay,18,17.21,15.58,13.25,14.2,11.74,15.97,15.03,19.88,23.32
Bradford,3.48,0,3.19,18.38,3.45,32.05,16.08,12.03,11.36,20.61
Brevard,16.61,19.32,14.79,16.24,15.83,16.9,14.84,15,14.76,14.3
Broward,12.54,12.41,13.71,12.88,12.52,13.85,13.19,13.19,12.39,12.3
Calhoun,30.72,6.56,12.87,12.55,0,24.19,0,25.95,0,15.97
Charlotte,14.43,11.3,11.13,16.21,10.53,17.85,12.91,9.84,14.41,10.06
Citrus,12.11,17.3,14.13,13.54,9.9,11.09,11.21,14.38,12.22,12.42
Clay,12.69,15.08,16.11,11.41,19.35,11.45,19.1,23.48,16.26,15.28
Collier,11.44,16.22,11.43,15.06,17.72,14.35,14.67,14.27,11.53,7.18
Columbia,11.48,11.81,19.67,17.29,18.35,8.13,17.05,19.04,18.1,14.47
DeSoto,5.76,8.8,13.24,10.41,1.98,6.49,13.56,12.2,15.38,1.83
Dixie,15.32,16.75,4.5,12.75,19,12.03,11.81,4.03,16.62,30.62
Duval,13.18,15.55,13.97,16.45,17.04,18.84,17.26,18.56,15.13,15.44
Escambia,16.59,17.48,13.69,18.47,20.93,17.01,18.45,15.14,19.94,16.2
Flagler,15.09,17.02,16.73,17.94,11.15,9.64,12.74,9.06,13.9,11.74
Franklin,17.34,7.11,0,5.52,8.15,5.24,0,21.58,15.44,21.12
Gadsden,17.37,15.54,13.12,13.79,17.11,16.18,18.51,22.21,10.66,12.43
Gilchrist,6.59,11.84,35.93,16.07,9.91,34.62,5.66,14.76,3.9,10.34
Glades,0,5.96,5.21,0,8.43,0,11.3,0,17.67,4.96
Gulf,0,4.97,19.42,11.27,4.8,13.78,9.86,24.23,21.67,12.81
Hamilton,7.55,0,0,13.46,14.28,0,18.83,7.32,5.51,16.1
Hardee,11.32,12.01,17.07,12.31,3.75,0,7.44,32.48,6.27,20.02
Hendry,26.48,16.21,16.15,12.02,21.71,24.18,21.39,13.13,6.86,10.04
Hernando,20.72,14.92,14.77,10.59,16.87,16.34,13.91,10.73,16.62,19.71
Highlands,9.54,10.06,10.1,17.24,14.69,10.2,16.33,14.12,10.93,5.43
Hillsborough,13.25,12.84,16.43,14.75,16.32,14.94,17.05,14.83,15.9,14.57
Holmes,31.36,35.6,9.65,0,12.88,17.58,7.92,4.06,0,3.31
Indian River,10.37,8.46,15.6,15.26,11.01,17.69,15.98,16.85,8.83,13.22
Jackson,16.73,21.71,11.17,1.63,14.17,11.48,8.72,12.56,14.65,6.43
Jefferson,12.26,5.59,5.89,27.63,27.6,26.38,26.35,9.9,6.08,3.71
Lafayette,0,0,0,0,0,0,11.01,0,0,0
Lake,18.92,14.72,16.74,19.67,19.55,16.55,16.35,18.14,12.96,13.96
Lee,10.62,12.14,13.66,12.37,11.61,10.44,12.66,13.58,14.99,12.29
Leon,6.32,13.57,12.74,12.26,14.78,16.53,13.86,20.27,11.7,10.33
Levy,6.19,26.68,17.23,23.39,13.44,8.03,12.84,26.11,10.86,8.58
Liberty,0,26.63,41.54,15.73,27.23,13.08,0,0,9.78,0
Madison,15.63,9.31,4.31,5.43,14.43,0,12.73,18.88,13.11,0
Manatee,10.52,12.37,14.08,12.04,10.35,12.25,15.61,15.25,14.5,10.47
Marion,17.18,14.07,16.4,17.87,15.72,14.2,15.83,16,16.11,13.14
Martin,12.06,12.71,10.1,9.69,15.1,16.26,9.27,8.68,11.04,11.3
Miami-Dade,10.84,11.2,12.32,11.6,12.96,12.12,12.34,11.87,11.81,11.77
