County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,5.13,5.66,5.58,5.79,6.09,6.27,6.72,6.68,6.76,6.04
Alachua,3.8,3.23,8.13,5.08,6.72,7.11,4.69,7.07,9.18,6.28
Baker,13.15,0,0,22.64,15.3,11.16,3.59,4.95,4.32,2.75
Bay,5.99,3.8,7.17,7.11,7.22,7.17,6.2,12.42,6.34,7.07
Bradford,0,3.57,6.19,0,6.15,3.45,2.67,6.04,7.08,3.37
Brevard,4.93,6.83,6.28,5.56,6.04,4.07,9.38,5.31,5.22,6.08
Broward,6.16,5.8,6.52,7.36,7.06,6.62,7.13,7.82,6.18,5.93
Calhoun,6.66,12.44,6.28,0,0,12.06,0,12.42,11.17,4.75
Charlotte,1.94,4.98,5.79,3.52,4.77,5.07,4.1,5.58,3.17,3.83
Citrus,4.5,5.83,3.17,9.11,4.46,5.9,4.98,5.99,6.31,2.71
Clay,5.45,2.86,5.85,4.34,9.44,10,10.31,5.77,8.04,5
Collier,7.4,4.19,3.25,3.74,6.32,5.42,5.98,4.42,4.48,2.93
Columbia,3.28,5.97,4.56,6.5,5.51,8.73,13.98,10.04,9.79,8.5
DeSoto,2.61,8.88,8.32,11.01,5.71,0,6.38,6.51,15.67,6.13
Dixie,8.9,13.72,0,8.68,12.18,0,3.95,14.32,0,6.66
Duval,7.42,5.95,6.72,7.39,9.35,9.91,7.47,7.7,8.24,6.89
Escambia,5.13,5.89,8.39,6.39,7.1,5.57,6.58,8.98,7.07,6.08
Flagler,1.13,6.65,6.8,6.66,4.62,5.77,3.17,7.79,3.21,4.69
Franklin,6.11,13,5.56,7.35,15.8,0,5.37,0,10.94,5.26
Gadsden,8.94,4.07,3.99,10.22,1.73,3.68,0,5.53,3.1,4.82
Gilchrist,0,0,5.57,9.53,0,18.09,5.66,11.31,11.69,7.52
Glades,0,0,0,0,0,0,8.22,0,5.14,0
Gulf,13.19,0,10.52,5.04,0,4.42,9.96,5.59,7.15,5.31
Hamilton,6.98,8.88,7,7.5,7.87,6.91,0,5.19,11.72,4.44
Hardee,15.36,3.2,6.86,0,0,0,6.27,4.31,16.45,10.16
Hendry,3.09,2.93,6.04,6.79,9.49,6.33,12.66,9.94,9.53,6.82
Hernando,4.29,4.3,6.11,2.55,4.92,3.92,4.9,6.2,6.64,4.33
Highlands,3.24,5.48,2.53,6.06,5.87,1.83,6.49,5.99,3.62,9.93
Hillsborough,4.53,7.09,5.68,7.48,7.42,6.7,5.61,7.92,9.23,7.42
Holmes,0,13.44,0,17.85,11.88,13.7,5.3,0,3.23,3.31
Indian River,5.98,7.81,4.04,4.26,5.26,9.04,6.25,5,10.09,4.43
Jackson,5.58,0,4.04,7.15,3.33,4.98,3.31,1.64,4.07,3.94
Jefferson,6.64,0,7.51,4.77,0,0,10.16,0,4.59,9.47
Lafayette,12.7,0,0,15.94,0,0,0,11.41,0,13.35
Lake,5.03,5.55,5.18,5.37,6.78,5,4.05,5.6,9.24,4.58
Lee,6.08,5.18,4.65,4.12,5.23,5.36,5.65,5.46,6.37,7.31
Leon,3.93,7.75,6.03,3.89,4.67,2.74,7.53,6.95,3.43,5.76
Levy,13.26,8.45,1.68,6.82,9.18,10.13,4.55,6.33,8.09,2.7
Liberty,0,14.67,0,0,15.2,13.22,12.7,0,9.78,0
Madison,4.73,4.65,4.31,0,4.29,7.72,4.32,0,8.1,8.27
Manatee,5.02,4.81,2.75,5.12,3.44,4.02,5.49,6.79,5.16,4.21
Marion,4.81,4.04,6.1,5.04,6.97,7.08,5.67,8.94,7.1,4.94
Martin,9.55,5.62,3.11,3.99,5.78,2.63,6.02,4.17,2.72,5.94
Miami-Dade,5.66,7.17,7.24,7.6,7.54,6.96,7.66,6.85,6.89,6.69
Monroe,13.28,5.93,13.36,2.02,7.04,6.57,9.08,7.99,5.76,9.5
