County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,74.35,73.59,75.36,72.96,68.49,65.94,66.97,65.51,63.41,55.65
Alachua,79.45,91.08,77.91,88.44,70.75,78.95,82.47,80.07,78.34,64.57
Baker,95.72,93.83,67.48,64.55,75.47,116.55,80.72,112.22,62.72,119.54
Bay,102.79,91.73,86.61,82.12,71.27,81.72,86.43,88.99,95.7,79.99
Bradford,48.72,58.43,61.44,85.55,73.55,70.52,82.54,80.89,55.64,85.43
Brevard,89.54,82.25,90.03,88.15,76.72,77.86,79.45,80.13,73.02,65.79
Broward,68.94,70.43,66.94,66.49,61.23,64.53,62.52,60.42,54.68,49.65
Calhoun,118.56,141.61,109.61,82.22,48.62,94.85,89.11,86.93,75.6,70.82
Charlotte,70.92,70.31,59.96,69.9,61.82,71.65,70.94,60.18,64.04,54.4
Citrus,73.07,89.42,74.68,81.79,77.55,77.28,71.34,73.17,84.81,64.93
Clay,97.69,98.66,69.72,83.98,74.88,82.51,88.19,74.06,79.48,73.08
Collier,58.74,55.28,53.63,58.76,56.18,61.61,46.69,53.29,46.72,39.34
Columbia,80.03,100.86,92.03,110.28,100.54,77.6,110.21,88.05,77.67,93.57
DeSoto,71.46,57.73,68.43,76.99,58.29,54.57,64.34,62.97,66.18,50.58
Dixie,82.4,118.72,89.07,107.17,103.85,95.34,105.87,108.84,69.65,99.57
Duval,84.69,86.15,87.93,89.86,82.76,84.58,85.28,82.58,77.25,67.12
Escambia,102.21,87.03,88.98,84.85,78.41,82.3,82.63,87.37,75.33,71.23
Flagler,70.23,64.25,59.59,67.97,63.79,61.49,64.52,58.89,61.88,54.29
Franklin,94.5,104.94,93.72,101.65,82.78,55.05,87.24,107.87,131.99,46.84
Gadsden,82.38,90.47,100.94,61.64,89.48,63.8,48.99,44.99,64.06,81.97
Gilchrist,111.86,105.56,79.34,115.35,69.85,84.67,101.85,105.1,84.8,68.12
Glades,59.85,16.89,55.87,44.38,46.86,69.72,70.51,24.83,53.8,21.88
Gulf,80.1,67.23,72.01,56.62,60.56,75.17,100.26,92.92,117.98,58.63
Hamilton,78.46,56.37,47.64,73.73,123.95,84.28,58.4,53.66,62.55,64.39
Hardee,67.53,75.57,65.83,96.62,61.03,43.25,81.12,42.92,84.95,77.45
Hendry,81.47,113.33,99.59,93.51,90.2,77.06,74.85,71.07,66.47,56.47
Hernando,90.31,94.63,95.75,82.12,80.71,77.2,81.66,72.42,85.02,79.23
Highlands,86.67,87.25,85.89,78.85,79.88,64.18,80.17,77.38,64.43,51.19
Hillsborough,73.52,73.48,74.43,80.78,71.87,64.19,65.96,70.98,68.73,65.37
Holmes,122.55,68.38,52.54,83.24,112.19,100.11,77.64,57.42,101.83,50.39
Indian River,71.68,75.19,81.1,71.38,77.64,71.63,66.98,72.31,70.84,47.75
Jackson,61.35,70.54,82,74.18,83.48,91.33,86.99,35.54,53.35,33.32
Jefferson,120.39,54.43,53.71,104.31,55.79,89.55,69.82,38.74,51.94,38.12
Lafayette,63.26,85.56,86.54,84.36,56.82,68.18,97.61,120.15,83.35,19.8
Lake,90.67,82.61,95.09,84.18,89.85,71.5,81.73,77.69,83.26,73.26
Lee,75.32,67.36,70.03,74.46,65.72,56.98,54.7,58.69,58.62,58.84
Leon,70.19,67.14,64.4,59.3,63.51,63.18,57.85,50.98,47.56,42.88
Levy,81.61,91.7,82.77,106.91,82.33,90.44,89.87,110.97,84.68,81.49
Liberty,94.13,80.75,126.26,50.71,77.1,40.62,25.3,85.41,61.79,87.1
Madison,76.85,85.56,84.27,109.75,31.85,94.64,97.85,78.32,55.19,31.59
Manatee,72.8,71.36,83.17,68.21,58.74,62.33,62.26,60.42,62.59,49.54
Marion,91.5,89.85,87.54,92.11,82.9,79.27,87.7,82.35,81.93,73.48
Martin,79.02,78.87,67.97,65.19,52.84,65.34,66.33,63.65,68.75,56.37
Miami-Dade,50.16,48.62,54.9,50.93,50.25,47.65,47.81,43.81,46.72,37.9
Monroe,80.7,96.56,80.78,66.62,78.99,60.7,59.71,54.11,60.75,45.96
Nassau,89.62,86.3,115.83,99.14,82.92,70.69,79.97,74.4,85.66,66.89
Okaloosa,102.64,91.37,99.43,87.22,92.63,76.67,66.4,72.77,70.02,68.25
Okeechobee,106.71,113.58,89.06,111.38,97.01,106.62,85.85,97.56,81.17,97.34
Orange,73.7,74.05,72.4,76.36,68.23,63.49,70.22,65.4,61.52,46.95
Osceola,74.2,70.83,76.87,64.23,65.07,62.07,58.26,53.49,49.41,50.97
