County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,17.98,16.88,17.38,18.46,16.62,18.71,18.33,17.74,17.01,19.68
Alachua,18.01,14.89,16.9,16.68,16.43,18.41,15.28,21.67,18.57,29.07
Baker,26.19,16.93,26.26,9.98,3.74,14.33,0,2.89,0,26.97
Bay,26.48,15.96,23.44,26.91,23.2,21.87,16.08,21.48,19.75,16.08
Bradford,10.46,28.66,6.6,13.58,12.3,6.95,15.53,3.32,24.01,27.75
Brevard,21.18,21.03,19.48,20.81,22.29,21.81,17.71,24,21.87,23.55
Broward,20.17,14.55,16.39,16.34,15.05,20.09,17.53,16.47,16.95,16.12
Calhoun,27.44,20.25,0,12.86,13.6,27.16,5.72,22.1,4.84,6.23
Charlotte,17.2,7.62,10.07,24.59,18.98,23.83,24.63,18.6,16.96,23.89
Citrus,12.76,12.32,14.49,19.2,12.65,27.15,22.81,18.31,14.37,24.39
Clay,20.57,19.63,11.93,17.27,20.31,16.4,13.7,14.33,15.63,25.11
Collier,23.06,22.48,22.9,23.25,25.04,26.02,22.7,22.52,18.78,22.74
Columbia,24.27,20.04,11.79,7.55,11.36,17.85,22.55,10.9,21.1,22.5
DeSoto,7.64,9.35,12.07,11.8,23,19.79,15.05,30.51,25.57,5.28
Dixie,22.3,48.55,23.98,8.55,18.16,8.3,16.03,12.75,10.77,30.29
Duval,15.24,12.43,12.54,18.34,15.55,16.8,16.91,16.71,16.4,17.98
Escambia,14.36,15.03,16.18,16.57,12.35,16.7,16.72,15.93,15.57,12.33
Flagler,23.1,12.85,11.27,13.22,10.14,10.59,22.81,24.08,10.83,45.11
Franklin,7.54,33.24,5.56,5.92,5.35,6.55,41.81,32.42,0,33.85
Gadsden,17.62,6.05,6.7,20.83,12.43,11.78,4.64,18.26,11.44,9.4
Gilchrist,36.53,30.22,21.15,9.53,36.17,15.31,18.17,16.83,12.32,23.02
Glades,47.89,20.65,0,18.56,19.65,10.42,10.34,51.26,13.08,26.18
Gulf,18.22,0,14.73,17.17,10.4,4.42,0,9.97,12.17,0
Hamilton,8.76,14.29,6,0,0,26.83,5.35,7.32,6.21,12.84
Hardee,6.84,18.5,17.53,26.04,30.09,8.07,22.29,23.46,12.73,31.44
Hendry,12.22,15.75,3.94,16.68,13.97,37.24,6.53,25.21,14.42,7.64
Hernando,17.45,16.41,18.73,21.65,22.36,18.35,19.9,18.32,23.15,22.75
Highlands,11.19,12.95,15.5,32.61,20.69,25.43,25.3,23.7,26.04,27.65
Hillsborough,15.92,18.27,17.33,18.45,14.51,17.93,16.77,18.37,19.22,21.53
Holmes,19.16,9.49,24.2,17.4,25.62,11.42,23.71,15.07,12.86,16.29
Indian River,25.7,22.02,24.12,21.22,21.81,25.34,35.23,28.25,22.1,38.94
Jackson,20.55,24.68,11.79,16.35,11.03,13.48,12.63,14.99,14.03,4.39
Jefferson,55.42,31.71,26.03,69.9,34.05,11.94,12.44,41.65,41.84,39.13
Lafayette,15.51,15.5,12.82,0,0,0,7.9,11.96,10.07,13.99
Lake,30.34,21.96,24.18,21.17,22.98,25.6,26.5,19.87,20.95,21.98
Lee,21.63,22.86,20.66,23.63,18.22,20.04,20.85,19.62,19.01,16.64
Leon,22.61,14.56,22.14,24.95,19.66,20.14,14.82,12.62,12.66,12.65
Levy,14.57,5.16,15.24,16.17,15.99,9.38,14.55,12.53,7.29,21.16
Liberty,29.42,12.93,17.25,0,0,0,0,0,0,21.91
Madison,21.27,21.25,4.67,5.43,10.62,13.23,4.48,7.2,0,3.61
Manatee,15.39,10.29,18.35,20.23,15.47,17.64,17.68,26.7,17.94,28.49
Marion,19.78,14.9,17.44,21.12,19.09,17.39,19.49,17.65,14.09,22.69
Martin,28.21,28.91,31.15,24.72,19.75,33.94,24.24,22.58,21.51,33.27
Miami-Dade,10.98,10.31,10.22,8.84,8.37,7.93,8.63,8.34,7.89,7.94
Monroe,28.06,25.62,21.84,16.73,21.03,18.78,25.16,18.87,30.97,20.77
