County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,1.07,1.07,0.96,1.04,1.05,0.93,0.87,0.83,0.87,0.84
Alachua,1.18,1.01,0.51,1.47,2.28,0,0.38,1.06,0.44,0
Baker,0,0,0,0,0,0,5.1,0,0,0
Bay,0,0.54,1.86,1.08,0.53,1.04,1.58,0.39,1.57,1.91
Bradford,3.48,0,0,0,0,3.19,0,0,0,0
Brevard,0.88,1.29,0.72,0.95,1.61,1.63,0.88,0.89,1.05,1.35
Broward,0.8,1.08,0.99,0.89,1.19,0.86,0.62,0.83,0.72,0.65
Calhoun,0,0,0,6.44,0,0,0,0,0,0
Charlotte,0.76,1.25,0.81,0.22,0.9,1.03,0.54,0.88,1.47,0.54
Citrus,0.61,0.61,2.09,0.63,1.15,0.82,1.6,1.9,0.27,1.71
Clay,0.59,2.14,0.5,2.59,4.28,1.26,3.02,2.43,1.35,1.49
Collier,0.73,0.91,0.54,0.4,0.56,0.51,1.43,0.67,1.21,0.82
Columbia,0,0,2.99,1.32,0,0,0,1.03,0,0
DeSoto,0,0,0,2.02,1.98,0,0,0,0,7.92
Dixie,4.71,5.28,0,0,4.03,0,0,0,0,0
Duval,2.23,1.29,1.03,1.45,1.15,1.19,0.49,0.75,0.73,1.25
Escambia,0.97,1.23,1.91,0.92,0.95,0.61,0.61,0.6,0.63,0.27
Flagler,0,0,1.99,1.29,0.54,0.61,0,0,0,0
Franklin,0,6.06,9,0,0,0,0,0,0,0
Gadsden,2.19,6.76,0,0,2.08,2.23,0,0,0,0
Gilchrist,0,0,0,0,0,0,0,0,5.24,0
Glades,0,9.4,0,0,6.14,0,0,0,0,0
Gulf,0,5,4.87,0,0,0,0,4.37,0,4.27
Hamilton,0,0,0,0,0,0,0,0,0,0
Hardee,3.17,0,0,0,0,0,0,0,3.93,3.11
Hendry,0,0,0,0,0,0,0,3.02,0,0
Hernando,1.72,2.83,1.38,0.78,1.74,0.29,0.86,1.26,0,2.04
Highlands,0.82,0.38,0,1.77,2.13,0,0.36,2.51,0,0.39
Hillsborough,1.05,1.24,0.93,0.82,0.7,1.29,1.08,0.81,1.13,1.22
Holmes,0,0,0,0,0,3.81,0,0,0,0
Indian River,0.74,1.5,1.3,0.43,0.62,1.24,1.16,1.11,0.54,1.11
Jackson,0,0,0,3.68,0,0,0,0,3.29,0
Jefferson,0,0,0,0,0,0,4.29,4.2,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0
Lake,1.39,1.59,0.62,0.94,2.72,1.71,1.27,2.11,0.93,1.44
Lee,1.2,0.59,0.74,0.71,1.15,0.71,0.98,0.77,0.44,1.15
Leon,0.45,1.46,0.8,0.59,1.13,0.54,0.33,1.3,0,0.7
Levy,1.7,0,0,1.71,0,1.7,0,0,0,0
Liberty,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0
Manatee,1.25,1.12,1.79,1.4,0.86,0.89,1.49,0.94,0.68,0.52
Marion,1.76,1.97,0.54,1.09,1.17,1.41,1.9,0.96,0.76,0.37
Martin,3.06,0.66,0.29,1.25,1.38,1.46,0.61,0.96,1.69,0.56
Miami-Dade,0.61,0.48,0.55,0.91,0.67,0.6,0.87,0.24,0.81,0.84
Monroe,0,1.61,1.16,1.01,0.98,4.98,0.73,0.98,0,1.97
Nassau,1.84,1.35,0,0,0,0,0,0.96,1.76,0.77
Okaloosa,0,1.06,0.47,0.44,0.49,0,0.48,0,1.12,0.51
Okeechobee,2.09,2.94,0,3.78,2.23,0,1.75,3.72,0,0
Orange,0.24,1.01,1.17,0.49,0.99,0.72,0.59,0.75,0.31,0.99
Osceola,1.52,2.2,0.47,0.94,1.1,1.43,0,1.29,0.71,0.47
Palm Beach,1.32,1.15,0.46,1.36,1.01,0.95,0.76,0.55,1.04,0.36
Pasco,1.92,1,2.35,1.36,0.84,0.6,0.93,0.86,1.2,1.45
Pinellas,1.19,1.06,1.26,1.05,0.91,1.04,0.7,0.99,1.07,1.07
Polk,0.4,1.17,0.89,1.04,0.51,1.08,1.15,0.24,0.57,0.23
Putnam,0,0,2.11,0.88,1.76,1.28,0,1.71,0.96,1.78
Santa Rosa,0.99,1.26,0,3.4,1.77,3.58,1.42,0,0.54,0.52
Sarasota,0.82,0.63,1.33,0.95,0.92,0.42,0.96,1.45,1.46,0.52
Seminole,1.86,1.42,0.9,1.02,1.91,0.97,0.49,0.82,0.73,0.71
St. Johns,0.56,1.71,1.01,2.05,0.39,0.45,1.68,0.88,3.07,0.32
St. Lucie,0.8,0.25,1.04,1.02,0.8,0.66,1.22,0.9,0.68,0.67
Sumter,1.25,0.96,0.79,1.13,1.38,2.32,0.89,2.46,0.38,0.82
Suwannee,0,0,0,0,0,0,1.73,0,0,0
Taylor,13.81,4,0,3.51,0,0,0,0,0,0
Union,0,0,0,0,9.5,0,5.76,0,6.15,0
Volusia,1.63,0.86,1.28,1.26,1.35,0.99,0.64,0.76,1.3,0.59
Wakulla,0,7.41,0,5.1,0,0,0,0,0,0
Walton,0,3.17,3.46,0,0,1.26,0,1.23,0,1.66
Washington,0,0,0,0,0,0,0,0,3.55,0
