County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,7.94,8.43,8.98,9.89,9.42,10.56,11.31,11.53,10.93,10.4
Alachua,8.33,9.99,10.81,7.63,6.54,6.64,11.17,11.05,9.89,12.75
Baker,16.94,8.37,0,3.83,4.15,7.1,10.47,4.16,8.65,0
Bay,8.38,7.4,4.85,7.95,8.91,13.59,14.31,14.85,9.52,16.9
Bradford,0,3.21,9.85,6.99,3.3,0,9.65,3.11,14.08,3.03
Brevard,5.6,4.17,5.69,7.54,7.61,14.66,10.87,9.91,12.99,9.19
Broward,11.57,12.49,8.84,10.59,10.92,14.06,13.09,12.91,14,13.02
Calhoun,6.74,0,7.58,8.29,0,6.23,5.72,13.98,22.77,0
Charlotte,1.8,3.44,4.57,5.06,5.54,5.92,5.25,6.53,6.72,5.34
Citrus,5.4,7.12,1.93,3.71,5.96,5.84,6.28,6.77,2.79,8.01
Clay,9.52,6.18,8.92,11.71,13.15,11.93,15.91,14.74,14.2,6.96
Collier,7.5,5.98,6.69,13.52,9.71,6.12,7.73,9.16,6.65,8.07
Columbia,9.74,13.5,5.95,7.75,2.47,7.7,10.42,4.17,4.42,2.7
DeSoto,5.75,0,0,9.96,5.58,0,8.31,1.79,2.13,8.11
Dixie,4.71,4.62,0,8.81,8.15,0,0,4.02,0,0
Duval,7.61,8.4,10.7,11.08,11.62,11.54,12.99,16.18,12.45,11.97
Escambia,6.61,9.12,8.79,6.51,5.78,9.59,9.23,9.45,6.35,8.31
Flagler,16.35,6.42,9.36,7.18,6.2,9.84,10.56,15.19,8.2,6.23
Franklin,0,0,11.73,0,0,5.24,13.32,0,18.27,18.43
Gadsden,4.84,7.05,6.67,13.61,8.45,12.78,7.79,8.42,11.96,12.54
Gilchrist,13.72,0,7.95,12.2,7.76,4.26,5.66,0,6.82,3.82
Glades,0,0,0,0,25.33,4.88,0,6.49,0,9.93
Gulf,13.54,4.97,0,5.04,6.28,16.33,17.81,10.15,25.75,16.43
Hamilton,0,0,6,0,5.67,6.79,0,6.79,0,14.03
Hardee,0,0,4.49,0,18.41,3.68,18.52,3.75,11.1,6.71
Hendry,3.35,8.53,0,0,0,3.25,12.99,0,2.32,2.66
Hernando,8.01,7.83,5.67,7.54,6.72,9.01,8.21,14.44,9.53,10.38
Highlands,1.9,6.94,6.71,7.84,23.9,12.76,7.9,8.86,11.7,4.55
Hillsborough,6.49,8.01,11.38,11.44,8.46,11.19,13.74,13.35,15.02,13.27
Holmes,0,5.78,0,3.89,6,4.21,6.16,11.66,0,7.93
Indian River,10.04,5.12,2.89,8.42,2.62,4.35,3.82,7.11,6.39,9.54
Jackson,4.12,1.89,10.6,3.47,10.22,5.14,8.64,1.45,7.58,4.31
Jefferson,7.89,18.8,7.11,15.3,6.23,0,0,5.96,15.75,0
Lafayette,0,0,0,0,0,11.01,0,0,0,0
Lake,7.37,5.01,12.78,17.75,11.9,8.93,8.91,11.23,9.12,9.62
Lee,3.52,5.64,4.1,4.75,5.6,5.02,5.48,6.34,3.98,6.69
Leon,8.97,8.7,11.74,11.04,9.54,8.34,6.49,12.13,15.09,9.5
Levy,8.1,2.63,4.3,6.81,0,5.52,6.27,3,5.37,2.7
Liberty,12.14,24.82,14.19,13.9,0,11.41,10.84,0,12.41,0
Madison,9.46,10.78,0,4.67,5.5,0,14.53,0,10.29,3.26
Manatee,4.29,5.14,8.07,10.17,12.44,7.71,8.58,10.49,7.04,4.65
Marion,3.4,4.18,6.19,5.3,6.4,4.79,5.92,6.04,5.66,7.15
Martin,7.66,6.25,6.9,11.31,8.84,7.54,9.51,11.68,13.73,16.28
Miami-Dade,10.67,9.78,10.42,10.28,12.02,14.31,14.98,15.92,14.78,15.28
Monroe,8.5,14.54,4.53,5.24,5.5,5.13,4.35,15.02,5.27,6.79
Nassau,5.56,6.43,7.56,10.06,4.99,4.82,16.02,11.8,8.21,5.83
Okaloosa,15.42,8.78,10.81,8.45,9.88,13.07,19.28,10.95,6.64,6.73
Okeechobee,3.66,3.17,0,10.19,5.43,14.04,10.97,7.49,0,11.41
