County,White,Black,Other.Race
Alachua,178081,51202,21414
Baker,22722,3883,645
Bay,142121,19586,10054
Bradford,21325,5524,611
Brevard,464795,60238,29246
Broward,1181902,506009,108403
Calhoun,12030,2092,606
Charlotte,149253,10405,5269
Citrus,132566,4643,4963
Clay,162544,21496,13001
Collier,305925,24033,10188
Columbia,53470,12346,2330
Miami-Dade,2035173,498675,81562
Desoto,28948,4452,1040
Dixie,14725,1349,369
Duval,551177,267713,65924
Escambia,209812,71411,21198
Flagler,84169,12652,4859
Franklin,9730,1615,278
Gadsden,20746,26166,1168
Gilchrist,15726,915,383
Glades,10379,1524,883
Gulf,12909,2936,358
Hamilton,9398,4718,419
Hardee,24627,2049,1007
Hendry,31237,5052,1646
Hernando,160030,10886,6399
Highlands,86111,10177,3746
Hillsborough,985859,230601,86401
Holmes,18082,1289,712
Indian River,123341,13853,4552
Jackson,35260,13544,1533
Jefferson,9168,5207,279
Lafayette,7295,1270,122
Lake,262926,33691,14579
Lee,575302,60073,24425
Leon,177031,88450,15500
Levy,35684,3937,1201
Liberty,6834,1543,257
Madison,11555,7543,416
Manatee,294347,32221,13487
Marion,284180,44834,12638
Martin,135529,8775,5701
Monroe,66312,4739,2533
Nassau,68973,5174,2177
Okaloosa,156176,18802,14562
Okeechobee,35255,3358,1385
Orange,856230,273513,104050
Osceola,240494,39280,19683
Palm Beach,1050206,245760,66417
Pasco,434513,26364,23764
Pinellas,774068,102598,52067
Polk,500822,97958,27452
Putnam,58450,12033,2128
Saint Johns,187859,12599,8894
Saint Lucie,218125,57109,12654
Santa Rosa,140818,10050,9638
Sarasota,359037,19061,11813
Seminole,353428,52972,29621
Sumter,98384,10051,2242
Suwannee,37596,5430,1347
Taylor,17593,4812,732
Union,11869,3618,306
Volusia,427703,55643,19833
Wakulla,25520,4859,974
Walton,52701,3850,2695
Washington,20365,3606,954
