County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Florida,2.92,2.98,2.91,2.93,3.05,3.05,3.02,3.04,3.14,3.22
Alachua,3.48,2.91,3.18,2.93,3.31,2.34,3.24,3.02,2.78,3.15
Baker,3.25,3.67,2.76,2.04,2.49,3.75,2.94,2.36,5.17,2.53
Bay,3.87,3.3,2.69,2.99,2.8,2.79,2.72,2.77,2.32,2.5
Bradford,3.56,3.34,3.54,4.17,4.4,5.05,2.78,5.38,3.05,2.04
Brevard,3.03,3.29,2.89,2.69,3.09,2.54,2.45,2.39,2.68,3.24
Broward,2.97,2.99,2.91,3.06,3.37,3.12,3.04,3.12,3.28,3.13
Calhoun,4.62,3.8,2.74,2.8,2.63,2.96,2.33,2.96,4.27,2.7
Charlotte,2.54,2.94,4.22,1.91,3.87,4.05,3.24,3.48,3.9,2.82
Citrus,2.96,4.02,3.33,2.38,3.17,3.08,2,2.93,2.55,2.9
Clay,2.21,2.88,2.59,2.31,2.7,2.67,2.53,2.93,2.69,3.5
Collier,1.96,2.02,1.73,2.48,2.13,2.12,2.41,2,2.19,2
Columbia,2.22,2.32,3.16,3.4,3.16,3.7,2.66,3.89,3.66,3.98
DeSoto,2.88,3.94,2.66,1.93,3.05,3.88,3.11,2.78,2.85,3.21
Dixie,2.03,3.33,2.5,2.55,3.3,3.68,4.93,2.24,4.29,1.96
Duval,2.98,3.07,3.15,3.08,3.04,3.2,2.95,3.32,3.27,3.35
Escambia,3.75,4.31,3.42,3.86,4.12,3.31,2.71,3.42,3.54,3.56
Flagler,1.5,2.75,2.58,2.63,2.75,1.57,2.77,3.34,2.2,2.59
Franklin,5.66,3.74,0.93,4.12,6.42,3.16,0,6.52,1.09,4.94
Gadsden,4.64,4.3,4.31,5.66,5.26,6.27,5.41,3.64,3.85,4.9
Gilchrist,1.78,2.56,1.68,4.82,2.98,2.45,3.01,1.64,2.29,2.08
Glades,1.56,4.65,1.22,6.94,1.25,9.52,4.62,1.64,3.45,1.92
Gulf,3.67,3.57,3.48,5.17,2.56,6.06,0.94,2.94,2.5,3.96
Hamilton,5.1,4.76,3.6,2.94,3.85,2.04,5.19,2.61,4.9,0.83
Hardee,2.61,3.95,2.56,3.49,1.91,2.72,2.95,5.41,3.52,2.47
Hendry,2.51,3.2,3.04,3.13,2.81,1.69,4.51,3.17,2.92,2.98
Hernando,2.95,2.75,2.56,2.99,3.51,3.05,2.99,3.03,4.49,3.47
Highlands,4.1,2.76,2.15,2.74,3.23,3.54,3.65,2.82,2.58,3.36
Hillsborough,3.2,3.26,3.16,3.43,3.19,3.62,3.36,2.76,3.9,3.93
Holmes,3.81,2.22,3.7,2.67,3.5,4.71,4.22,1.76,1.32,2.82
Indian River,2.69,2.66,2.08,1.91,2.2,2.6,3.63,3.96,3.22,2.81
Jackson,5.51,3.36,3.67,5.8,3.28,3.92,5.75,2.35,3.79,3.5
Jefferson,4.23,4.14,6.4,2.82,3.88,4.63,3.85,5.04,4.81,7.34
Lafayette,4.21,2.7,4.76,4.44,4.69,2.44,2.63,1.61,2.86,4.62
Lake,2.77,3.09,2.72,2.75,3.12,2.52,2.91,3.03,2.84,3.52
Lee,2.49,2.62,2.84,2.43,2.52,3.09,2.74,2.75,2.78,2.78
Leon,3.86,3.07,2.85,3.52,3.92,3.55,3.68,3.63,3.07,2.72
Levy,4.07,4.52,1.66,1.48,3.59,3.85,1.82,1.47,2.67,2.83
Liberty,6.45,4.44,4.17,1.23,7.14,1.61,1.35,1.64,4,1.33
Madison,2.35,2.38,3.32,5.88,4.21,4.89,8.2,2.91,5.49,5.06
Manatee,2.24,2.59,2.58,2.69,2.38,2.39,2.86,2.24,2.24,2.62
Marion,2.39,3.01,2.74,2.85,2.97,3,2.97,2.87,3.08,2.88
Martin,3.01,2.77,3.32,1.47,2.5,2.69,2.52,2.67,2.21,2.06
Miami-Dade,3.09,2.81,2.92,2.82,2.99,3.27,3.27,3.46,3.19,3.45
Monroe,2.59,2.45,3.41,2.67,2.96,1.99,3.39,3.33,4.1,2.55
Nassau,2.97,3.62,2.1,2.86,3.83,0.91,2.64,2.59,3.06,1.89
Okaloosa,2.73,2.92,2.58,2.56,3.28,2.64,2.53,2.87,2.08,2.3
Okeechobee,3.41,3.24,4.13,3.96,2.74,1.33,2.59,2.67,2.49,3.42
Orange,3.01,3.15,2.93,2.88,3.02,2.52,2.96,3.14,3.22,3.24
Osceola,3.27,3.44,2.75,3.04,3.02,2.66,3.12,2.97,2.91,3.55
Palm Beach,2.8,3.27,3.1,2.84,3.2,3.19,2.96,3.36,3.03,2.94
Pasco,2.28,2.53,2.54,3.01,2.88,3.23,2.7,3.05,2.76,3.67
Pinellas,2.56,2.9,3.01,3.04,2.83,3.21,2.89,2.79,2.87,2.95
Polk,2.74,2.81,3.02,2.91,2.48,2.62,2.34,2.76,3.02,2.89
Putnam,3.07,2.76,3.87,3.96,2.82,4.26,4.36,5.53,3.56,4.49
Santa Rosa,2.4,2.81,2.36,2.09,3.25,2.25,3.03,2.45,2.32,2.17
Sarasota,2.58,2.44,2.3,2.23,2.38,3.16,2.71,1.73,1.9,2.41
