County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Florida,12.67,12.62,12.61,12.63,12.35,12.12,11.79,12.78,13.54,12.34
Alachua,11.78,12.54,12.03,11.36,11.58,10.42,9.97,10.48,10.4,10.2
Baker,13.24,13.46,11.71,12.94,13.24,11.75,16.31,11.34,13.43,9.71
Bay,13.28,10.84,13.07,12.72,13.9,13.05,15.03,11.2,12.64,9.77
Bradford,13.8,15.3,11.4,10.6,11.65,12.13,6.17,12.75,12.33,11.23
Brevard,13.19,13.77,13.04,12.59,10.26,10.55,11.58,11.45,9.61,10.17
Broward,13.34,13.15,13.5,12.59,12.3,11.74,11.67,11.62,11.85,11.63
Calhoun,14.47,12.22,17.05,11.66,10.59,11.18,11.03,8.16,13.24,11.2
Charlotte,10.25,11.45,10.25,10.89,11.53,13.34,12.46,10.9,9.91,12.22
Citrus,11.3,10.43,10.04,10.28,8.76,11.07,9.93,9.69,8.98,11.78
Clay,9.58,11.35,11.56,11.39,11.51,12.02,10.61,11.01,12.07,12.62
Collier,12.31,12.15,12.15,12.16,12.21,10.87,10.43,10.81,10.11,10.16
Columbia,12.73,11.78,13.8,11.97,13.25,10.77,9.87,11.62,11.03,12.13
DeSoto,14.52,15.59,11.73,9.41,10.86,9.79,13.67,10.5,11.48,9.74
Dixie,10.84,13.29,11.11,8.19,6.67,12.26,5.33,8.72,10.26,6.14
Duval,12.61,13.23,13.5,12.44,12.39,12.21,11.92,12.69,10.81,11.84
Escambia,13.1,14.85,15.07,14.87,14.08,14.02,14.99,14.17,13.76,12.62
Flagler,10.58,11.02,10.12,8.8,9.78,10.02,10.33,8.29,9.78,8.14
Franklin,10.08,12.2,12.2,17.8,12.1,15.18,18.09,15.6,13.21,14.74
Gadsden,14.53,14.29,13.85,12.69,17.52,10.31,13.19,12.7,13.44,16.34
Gilchrist,10.11,12.36,8.67,13.54,8.7,9.44,6.21,8.96,8.85,11.04
Glades,16.88,11.34,15.46,17.24,6.98,16,5.8,8.96,10.77,10.34
Gulf,12.1,11.81,16.06,13.43,11.36,12.39,17.19,12.07,8.4,12.17
Hamilton,15.43,14.77,17.65,13.92,13.81,15.03,11.76,13.43,8.33,14.29
Hardee,14.67,12.81,14.68,13.13,12.16,12.77,9.84,13.73,11.63,9.9
Hendry,13.4,16.08,12.73,15.4,12.71,11.44,16.41,13.08,13.36,10.97
Hernando,10.31,11.58,10.8,11.99,11.86,10.57,12.83,11.51,10.79,12.95
Highlands,12.51,11.69,12.99,14.13,11.51,12.5,13.12,12.08,11.62,12.12
Hillsborough,12.13,12.46,12.12,13.01,11.72,11.81,11.35,11.02,11.86,12.3
Holmes,13.58,14.69,14.09,9.22,11.11,14.14,11.7,9.09,10.65,13.66
Indian River,9.98,10.13,9.02,10.53,8.46,8.7,10.54,9.58,8.82,8.95
Jackson,14.77,12,13.52,11.15,13.26,11.61,11.11,13.24,11.88,13.51
Jefferson,11.25,11.59,15.54,11.73,15.69,10.74,16.67,10.53,18.6,13.39
Lafayette,15.18,14.94,9.68,9.09,12.33,8.89,10.59,8.82,11.39,12.16
Lake,12.91,12.58,12.99,12.64,11.97,11.9,11.82,13.38,12.96,12.93
Lee,12.46,12.28,12.25,12.48,11.93,10.86,10.14,11.91,13.12,12.03
Leon,11.74,12.7,11.52,11.14,13.78,9.62,11.59,10.87,10.8,11.07
