County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,6.77,6.59,6.91,6.87,6.51,6.63,6.54,6.66,6.44,5.86
Alachua,9.12,5.42,6.31,8.36,6.81,3.91,3.6,4.23,5.98,4.3
Baker,4.11,8.34,4.34,0,11.35,3.7,0,0,3.55,8.9
Bay,11.9,5.69,5.09,7.56,7.08,5.27,6.1,5.41,4.77,6.73
Bradford,11.59,7.02,0,0,3.15,3.45,13.65,5.26,6.24,15.18
Brevard,4.93,8.07,9.23,7.63,8.71,7.82,8.55,6.95,5.58,7.15
Broward,7.08,5.39,7.09,7.35,6.12,6.09,6.03,5.44,5.87,6.14
Calhoun,9.08,0,12.87,7.47,0,7.31,16.4,16.84,4.93,0
Charlotte,6.47,4.56,3.48,7.95,10.09,13.58,8.49,5.42,6.16,6.4
Citrus,3.6,5.87,9.14,5.45,7.11,5.28,7.99,8.34,3.58,8.3
Clay,9.58,8.96,5.04,6.85,9.2,5.71,9.45,9.08,5.76,6.61
Collier,6.66,4.64,9.84,7.08,6.88,5.16,6.43,6.58,5.63,3.07
Columbia,3.28,1.83,9.42,4.15,4.48,8.78,10.29,5.92,4.65,3.38
DeSoto,1.89,1.93,0,6.31,3.88,10.31,8.47,1.79,2.9,5.27
Dixie,0,6.86,8.09,6.45,0,6.36,0,7.22,3.28,3.26
Duval,5.08,6.64,6.66,8.04,5.94,8.07,7.62,5.54,7.74,6.04
Escambia,5.99,6.22,7.49,5.76,6.24,4.43,5.64,3.78,10.06,3.99
Flagler,11.27,8.2,11.04,7.62,4.62,4.15,11.12,13.51,9.43,11.51
Franklin,0,8.76,0,7.35,5.22,9.32,0,0,5.21,0
Gadsden,2.19,6.57,2.47,8.47,4.2,8.53,3.55,3.68,3.64,7.54
Gilchrist,13.49,5.39,0,7.62,7.6,8.76,11.47,4.23,0,3.76
Glades,0,14.91,0,0,0,0,0,9.14,3.77,3.91
Gulf,22.69,0,0,10.52,10.27,8.84,0,0,14.85,0
Hamilton,0,0,6,7.2,0,0,5.35,0,12.38,0
Hardee,6.85,6.39,13.59,14.36,3.75,13.86,0,13.96,0,6.24
Hendry,6.04,10.72,4.67,9.64,11.94,5.26,2.16,12.2,15.72,0
Hernando,9.83,4.91,5.57,8.64,10.03,5.86,11.9,5.86,7.61,4.41
Highlands,4.34,7.01,11.12,3.56,10.17,6.42,9.86,9.35,6.77,6.76
Hillsborough,7.14,6.63,5.8,8.26,6.11,6.04,7.52,7.26,8.12,5.78
Holmes,4.12,10.03,0,5.96,9.84,4.21,0,3.68,6.18,0
Indian River,5.87,5.93,5.73,5.99,6.74,8.14,8.16,4.8,3.02,5.37
Jackson,4.84,5.49,5.56,1.63,9.26,0,1.65,7.31,1.79,3.59
Jefferson,0,19.75,13.08,10.99,0,0,5.92,10.17,6.08,0
Lafayette,0,10.19,0,0,0,0,0,0,0,20
Lake,7.05,6.31,7.28,6.97,7.17,6.61,7.08,9.38,7.2,7.68
Lee,6.6,5.92,5.75,6.16,6.51,8.02,6.9,5.97,6.04,7.26
Leon,5.83,8,5.56,6.5,3.41,5.61,5.65,4.85,3.76,4.79
Levy,0,9.82,13.15,12,4.93,3.29,2.67,4.68,2.18,9.49
Liberty,0,0,17.25,14.36,0,0,12.7,0,21.91,9.5
Madison,15.66,5.18,4.67,10.05,14.08,5.53,7.61,3.18,0,8.86
Manatee,6.37,7.12,5.41,6.91,5.7,6.02,5.88,8.41,7.79,6.1
Marion,9.52,4.78,7.39,7.43,6.44,6.45,8.5,7.65,7.08,5.84
Martin,7.39,6.71,5.33,4.96,6.91,2.58,7.56,4.8,4.89,7.35
Miami-Dade,5.76,6.68,6.95,5.9,6.15,6.38,5.85,7.13,6.37,5.6
Monroe,5,8.02,10.59,4.5,4.45,6.99,2.29,5.78,2.01,9.51
Nassau,8.25,8.04,4.66,8.06,8.8,5.4,7.75,5.17,5.32,3.25
Okaloosa,9.32,6.63,6.24,8.97,5.02,4.47,4.22,7.52,9.41,4.72
Okeechobee,12.06,2.76,3.94,7.42,6.58,1.94,7.25,4.26,9.09,9.87
Orange,7.43,6.52,7.27,6.46,7.84,6.79,6.28,7.58,5.4,5.65
Osceola,6.39,7.81,3.53,5.32,6.28,9.39,5.22,5.6,5.03,7.09
Palm Beach,7.03,6.87,6.71,7.14,6.74,6.88,6.87,7.19,6.83,4.87
Pasco,6.58,8.17,7.8,7.45,7.19,7.13,5.78,7.51,5.6,7.17
Pinellas,6.14,6.28,7.58,6.71,6.71,9.04,6.76,6.86,7.41,6.18
Polk,7.73,6.94,7.5,7.46,6.85,6.55,6.33,6.12,6.24,6.06
Putnam,6.09,4.72,8.12,10.38,8.12,4.34,5.33,8.38,9.1,9.95
Santa Rosa,10.62,5.13,2.68,7.41,5.96,5.81,8.57,7.19,7.71,2.54
