County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,93.2,85.17,83.26,82.48,81.96,83.46,85.57,84.58,84.36,78.73
Alachua,137.55,99.46,101.06,113.95,82.68,98.06,102.31,112.54,96.09,93.56
Baker,145.94,76.11,111.29,109.56,38.57,103.63,72.58,69.24,143.42,62.07
Bay,98.09,92.81,77.09,64.42,81.95,100.8,71.76,89.2,90.48,87.06
Bradford,72.24,67.74,58.03,71.8,25.99,52.72,110.43,77.31,51.36,79.42
Brevard,103.63,88.76,85.8,91.5,92.63,83.67,90.96,83.64,81.36,71.38
Broward,92.55,82.95,87.06,84.66,79.9,88.99,89.03,93.55,88.21,82.59
Calhoun,85.61,70.06,69.6,81.09,44.6,40.45,57.95,82.2,74.33,20.58
Charlotte,77.61,75.74,66.93,76.67,66.01,79.88,81.92,67.53,65.9,68.52
Citrus,85.33,87.12,64.41,65.25,65.76,85.95,84.41,84.37,96.08,57.35
Clay,97.25,95.12,86.9,95.83,98.55,94.13,80.85,80.13,98.23,108.6
Collier,79.4,71.3,60.51,65.2,64.11,76.47,70.67,71.11,70.08,54.36
Columbia,66.64,62.12,78.84,75.42,65.15,77.45,94.83,54.64,94.47,88.85
DeSoto,72.51,72.9,70.41,60.63,49.68,111.93,93.25,62.77,65.19,56.91
Dixie,65.85,96.89,93.03,92.32,80.34,102.75,58.09,72.72,119.25,88.22
Duval,110.13,85.24,106.73,98.83,99.55,99.67,89.11,100.58,97.78,89.47
Escambia,94.16,111.35,86.42,82.63,94.98,93.55,109.44,87.79,91.78,87.64
Flagler,83.34,102.74,81.98,86.52,83.6,81.29,68.92,84.87,47.08,72.33
Franklin,63.38,50.83,41.93,70.29,91.46,40.46,56.91,115.49,42.1,31.44
Gadsden,113.36,94.6,111.92,74.94,57.75,111.79,81.27,100.79,81.08,52.43
Gilchrist,46.18,74.73,51.32,113.8,38.05,146.05,78.12,86.12,100.71,104.38
Glades,0,33.88,61.81,26.64,37.87,38.41,111.05,70.5,61.08,44
