County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,12.5,12.35,11.87,11.73,10.59,10.57,10.96,10.62,12.34,9.92
Alachua,13.79,15.76,9.03,8.05,7.12,11.04,11.67,14.89,10.02,6.72
Baker,16.54,8.97,3.61,6.06,4.05,15.21,5.1,25.11,20.26,23.13
Bay,9.4,6.28,9.6,11.26,8.76,8.83,12.02,9.42,14.22,4.95
Bradford,0,17.63,7.96,3.25,15.44,10.5,10.53,13.04,6.85,0
Brevard,13.45,13.51,12.09,12.77,11.66,11.58,14.47,9.84,12.66,9.61
Broward,11.09,11.62,11.25,11.99,11.2,9.73,10.58,10.18,10.69,10.21
Calhoun,7.89,6.85,27.37,0,6.09,5.84,0,5.53,12.83,11.1
Charlotte,16.93,6.2,7.3,6.14,9.56,10.42,8,12.24,14.22,9.87
Citrus,10.97,5.58,13.07,8.48,8.2,9.12,9.53,8.06,7.09,13.09
Clay,21.1,10.38,10.41,14.57,11.73,8.73,13.1,14.7,10.09,9.34
Collier,10.83,10.39,11.17,12.31,13.73,9.88,11.32,10.43,14.69,7.66
Columbia,16.27,9.06,8.45,11.85,4.85,6.44,6.93,8.76,15.54,5.7
DeSoto,4.58,10.79,9.72,0,5.06,7.56,3.02,5.59,21.74,10.39
Dixie,8.9,18.19,4.5,4.34,0,7.97,32.79,3.77,0,11.21
Duval,15.36,14.45,14.73,15.92,13.11,11.44,11.71,12.5,11.87,9.86
Escambia,13.86,13,12.68,14.24,10.96,11.71,8.99,11.17,10.1,12.57
Flagler,10.77,11.97,13.5,11.24,4.46,15.85,11.99,12.29,13.06,10.03
Franklin,0,7.47,13.22,12.67,6.41,0,0,0,21.32,28.55
Gadsden,9.17,6.66,4.4,5.87,10.69,2.07,14.26,10.67,9.65,8.28
Gilchrist,20.72,13.12,24.37,33.01,0,12.72,24.28,21.94,7.79,3.82
Glades,0,0,8.21,19.55,4.93,9.74,40.14,5.39,8.38,0
Gulf,6.41,34.05,17.04,5.04,15.07,16.05,8.75,18.64,14.85,4.27
Hamilton,13.96,0,6,0,20.3,18.76,0,8.53,27.19,12.45
Hardee,10.84,6.9,0,7.56,18.96,18.23,24.62,0,16.45,6.22
Hendry,7.23,20.48,11.88,6.09,8.62,0,8.63,17.93,11.86,9.79
Hernando,11.73,10.8,12.09,12.39,11.67,13.77,12.82,10.88,11.41,11.7
Highlands,14.72,20.56,11.51,10.62,18.64,11.14,10.72,11.02,15.91,8.98
Hillsborough,10.55,11.69,12.69,13.12,12.13,10.95,12.21,10.69,15.52,13.77
