County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,10.16,11.4,11.04,11.6,11.42,11.04,11.58,11.69,11.34,10.44
Alachua,6.12,7.89,9.9,11.84,11.81,13.76,13.26,11.89,13.03,12.84
Baker,14.46,19.06,7.08,7.9,15.3,32.94,26.15,17.84,5.51,14.6
Bay,12.34,11.63,8.84,9.55,10.72,11.21,10.13,8.41,11.32,8.05
Bradford,6.88,3.45,3.66,6.28,25.49,13.36,5.81,16.66,15.41,7.88
Brevard,9.84,10.8,11.37,10.65,13.64,11.97,12.11,10.99,9.58,10.62
Broward,11.57,13.28,11.81,13.14,11.48,14.14,13.45,13.82,13.07,10.48
Calhoun,0,0,0,6.44,12.17,12.12,0,4.37,4.93,12.42
Charlotte,9.06,11.13,12.16,10.64,15.27,7.43,8.58,9.51,10.35,9.3
Citrus,6.88,9.55,7.58,9.86,7.2,9.85,14.89,12.17,8.29,12.32
Clay,12.01,10.7,9.17,13.2,10.87,11.96,13.34,9.06,8.3,14.41
Collier,6.31,11.06,8.95,10.19,8.51,11.16,9,10.43,10.04,6.48
Columbia,16.82,8.65,9.27,11,15.96,11.35,13.3,12.4,8.9,8.38
DeSoto,9.51,6.32,10.46,18.58,10.84,1.82,9.81,1.93,13.23,10.09
Dixie,13.69,0,13.14,0,20.38,9.23,0,7.94,6.55,18.17
Duval,10.17,14.19,13.52,13.26,10.39,10.79,12.27,12.06,12.9,11.38
Escambia,8.33,14.34,12.88,11.62,12.3,13.33,13.48,12.16,9.93,11.28
Flagler,11.04,9.2,9.99,13.1,12.13,8.3,6.32,11.93,6.66,11.17
Franklin,0,7.11,7.67,7.35,0,0,25.1,16.44,28.73,7.72
Gadsden,17.76,10.87,5.01,13.15,28.99,6.32,14.78,13,6.73,12.37
Gilchrist,5.48,5.39,23.08,4.98,11.4,5.07,4.18,4.14,3.78,22.76
Glades,0,11.26,6.23,4.87,9.86,10.94,0,4.97,0,3.91
Gulf,11.52,25.41,5.75,17.13,0,20.75,5.24,9.53,9.59,16.22
Hamilton,0,13.95,6,21.54,19.94,13.27,6.7,0,8.9,7.52
Hardee,0,13.23,10.13,13.65,9.96,6.81,9.8,19.76,7.95,10.16
Hendry,3.09,23.56,7.09,19.21,5.87,6,12.84,30.35,5.25,2.34
Hernando,10.56,8.75,9.82,12.92,9.63,9.28,13.16,10.37,15.07,13.95
Highlands,9.21,9.36,11.42,10.82,8.17,9.31,13.77,6.26,12.98,8.45
Hillsborough,10.97,12.67,12.6,14.92,12.96,10.84,11.86,11.66,12.22,10.18
Holmes,13.52,12.85,4.27,7.89,23.93,7.62,11.26,3.68,19.87,6.62
Indian River,7.43,10.24,10.85,9.27,12.99,7.6,9.36,9.07,11.74,12.26
Jackson,17.05,1.89,3.8,11.27,9.75,13.36,10.43,8.85,19.22,5.91
Jefferson,19.63,19.15,10.45,11.32,9.17,6.03,9.89,4.2,0,5.76
Lafayette,0,27.28,0,0,13.39,11.49,12.29,0,0,10.37
Lake,11.29,12.93,10.98,10.1,14.33,11.2,9.64,11.44,13.19,9.58
Lee,10.03,9.15,11.13,10.65,10.9,8.76,11.24,9.94,13.06,13.71
Leon,12.41,12.37,11.62,10.94,8.41,9.47,12.54,11.6,7.74,7.85
Levy,9.86,17.39,5.68,10.71,9.28,4.17,11.99,11.41,11.64,8.5
Liberty,19.93,12.93,0,12.12,0,25.87,0,14.01,0,0
Madison,14.22,0,9.71,9.83,0,9.71,11.08,8.53,19.68,0
Manatee,9.79,14.25,10.95,8.98,9.4,11.14,11.03,12.33,10.39,13.64
Marion,10.73,11.07,13.54,11.52,10.95,8.29,10.26,11.68,12.07,11.04
Martin,8.66,12.5,10.1,12.73,10.08,9.89,7.77,12.01,9.3,8.94
Miami-Dade,10.46,10.53,10.76,11.08,12,11,11.94,12.55,11.4,10.74
Monroe,11.57,10.18,11.95,8.07,15.88,9.04,7,11.76,12.6,10.1
Nassau,6.94,16.32,9.14,5.75,4.39,13.97,16.87,12.64,7.32,7.03
Okaloosa,13.3,11.4,8.58,12.94,13.02,13.34,13.3,13.36,11.26,9.72
Okeechobee,28.72,12.73,16.16,11.52,8.53,9.52,13.71,16.01,3.57,3.93
Orange,10.65,11.34,12.66,12.36,12.06,10.65,10.13,12.3,11.98,11.17
Osceola,12.42,10.17,10.27,10.39,7.88,6.46,8.24,9.05,10.24,14.44
