County,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Florida,0.3,0.4,0.4,0.2,0.8,0.5,0.5,0.5,0.5,0.5
Alachua,0.9,0.9,0,0,0,0,1.2,0.8,2,0.4
Baker,0,0,0,3.9,0,0,0,0,0,0
Bay,0.7,0,0,0,0,0,0,0,0,0
Bradford,0,0,0,0,0,0,0,0,0,0
Brevard,0,0.6,0.2,0.4,0.2,0,0,0.4,0.6,0.9
Broward,0.2,0.5,0.1,0.2,1,0.5,0.5,0.7,0.2,0.5
Calhoun,0,0,0,0,7,0,0,0,0,0
Charlotte,0.7,0,1.3,0.6,0,0,0.6,0,0,0
Citrus,0,0.8,0,0,4.3,1.4,0.7,0.7,0.7,0
Clay,0,0,0,0,0.5,0,0.5,0,0.5,1
Collier,1.8,1.4,1,0,1,0.3,2.5,1.2,0.3,0.3
Columbia,3.4,0,0,0,0,0,0,0,0,0
DeSoto,0,0,0,0,2.9,0,0,0,0,0
Dixie,6.9,0,0,0,0,0,0,0,0,0
Duval,0.3,0.6,0.4,0,0.1,0.8,0.7,0.5,0.6,0.1
Escambia,0,1.7,0,0.3,0,0.3,0.3,0,1.3,0
Flagler,0,0,0,0,0,0,0,0,1,0
Franklin,0,0,0,0,0,0,0,0,0,8.6
Gadsden,0,0,0,2.2,2.2,0,2.2,0,0,2
Gilchrist,0,0,0,0,0,0,0,0,17.7,0
Glades,0,0,0,0,0,0,0,0,0,0
Gulf,0,0,0,0,0,0,0,0,0,6.4
Hamilton,0,0,0,0,0,0,0,0,0,0
Hardee,0,0,0,0,0,0,0,0,0,0
Hendry,0,0,0,0,0,0,0,0,0,0
Hernando,0,0,1.3,1.2,0.6,0.6,0,0.6,1.2,0.6
Highlands,0,0,0,0,1,1,0,1,0,0
Hillsborough,0,0.4,0.3,0.3,0.6,0.1,0.5,0.7,0.6,0.2
Holmes,0,0,0,0,0,0,0,0,0,0
Indian River,0,0,0.8,0,1.5,0.7,0,0,0,0.7
Jackson,0,0,0,2.1,0,0,2,0,0,0
Jefferson,0,0,14.1,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,23.5,0,0,0
Lake,0.8,1.6,0.8,0.7,0.7,0,0,0.3,0.7,0.3
Lee,0.2,0,0.7,0,0.5,1,0.7,0.2,1.1,0.5
Leon,0,1.5,0,0.4,0.4,1.5,0.4,0.4,0,1.4
Levy,2.7,0,0,0,2.5,0,0,2.5,0,0
Liberty,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,5.2,0,0,0,0,0
Manatee,0.7,0,0,0.3,0.6,0,0.6,0,1.5,0.3
Marion,0.7,0.3,0,0.3,0.6,0.3,0.3,0.3,0.3,0.3
Martin,0,0,0.7,0,2.1,0.7,0.7,0.7,0.7,0
Miami-Dade,0.1,0.2,0,0.1,1.7,0.9,0.9,0.8,0.7,0.4
Monroe,0,0,0,0,0,2.7,0,0,1.4,0
Nassau,0,1.6,0,0,0,0,0,0,0,1.3
Okaloosa,0,0.6,0,0,0,0,0,1.1,0,0
Okeechobee,0,0,0,0,5,2.5,0,0,0,2.5
Orange,0.1,0.1,1.5,0.2,0.2,0.1,0.4,0.5,0.7,0.5
Osceola,0,0,0,0,2,0.4,0.4,0,0,1.1
Palm Beach,0.4,0.5,0.4,0,0.7,0.5,0.4,0.5,0.6,0.7
Pasco,0.5,0.3,1,0,1.3,0.7,0.2,0.2,0.4,0.9
Pinellas,0.4,0.2,0.1,0.2,1.4,0.8,0.4,0.2,0.2,0.9
Polk,0.4,0.2,0.2,0,0.5,0.2,0.2,0.3,0.3,0.3
Putnam,0,0,0,0,2.7,1.3,0,0,0,0
Santa Rosa,0,0,0,0,0.7,0,0,0.7,0,2.5
Sarasota,0.9,0.8,0,0,1.1,0.3,0.3,0,0.8,0.5
Seminole,0,0,0.7,0,1,1.4,0.2,0.5,0.2,0.5
St. Johns,0,1.3,0,0.6,1.7,0,1.1,0,1,1
St. Lucie,0.5,0.4,0,0.4,0,0.4,0.4,0,0.4,0.4
Sumter,0,0,0,0,0,1.1,1.1,0,1,1
Suwannee,0,0,0,0,2.5,0,2.4,0,0,0
Taylor,0,0,0,0,4.6,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0
Volusia,0,1.5,1.6,0,0.2,0.8,0,0.4,0.2,0.4
Wakulla,0,0,3.8,0,0,0,0,0,0,3.2
Walton,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,4,0,0,0
