County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Florida,1.53,1.56,1.42,1.49,1.3,1.4,1.35,1.39,1.51,1.63
Alachua,0.22,0.2,0.28,0.61,0.24,0.28,0.32,0.44,0.52,0.56
Baker,2.81,5.1,5.73,5.24,5.92,7.77,4.83,5.18,6.58,6.97
Bay,1.17,1.7,1.74,1.38,1.31,1.25,1.19,0.59,0.41,0.36
Bradford,2.85,3.86,5.21,6.58,7.27,7.72,7.65,5.95,7.12,7.65
Brevard,1.48,1.42,1.51,1.42,1.68,1.17,0.78,1.29,1.15,1.69
Broward,1.17,1.06,1.22,1.44,1.23,1.35,1.37,1.48,1.44,1.93
Calhoun,6.49,10.65,8.4,8.32,9.53,3.41,11.57,10.15,16.36,20.37
Charlotte,2.61,3.3,2.3,1.38,1.51,2.32,2.98,2.61,1.86,2.97
Citrus,1.21,1.83,1.69,1.19,1.05,1.48,1.26,1.12,0.98,1.89
Clay,3.62,3.77,4.13,4.31,1.05,0.98,0.78,0.36,0.7,2.85
Collier,1.04,0.58,0.61,0.59,0.56,0.46,0.57,0.87,1.08,1.01
Columbia,7.8,6.75,5.1,5.21,4.61,5.32,6.22,7.22,11.85,15.12
DeSoto,5.1,9.18,7.88,8.7,10.07,9.76,9.81,9.24,8.15,5.22
Dixie,*,*,*,*,*,*,*,*,*,*
Duval,0.94,1.09,1.07,1.26,0.78,0.92,0.49,0.77,0.71,0.7
Escambia,0.3,0.76,0.83,0.53,0.97,0.86,0.77,1.03,0.73,0.9
Flagler,1.14,1.86,2.09,3.31,4.33,3.34,0.71,*,*,1.96
Franklin,6.68,*,5.17,6.02,12.91,5.21,8.68,6.89,10.3,6.88
Gadsden,*,1.31,*,*,*,*,*,*,1.71,1.04
Gilchrist,*,0,*,*,*,*,*,*,*,0
Glades,4.9,*,4.01,3.94,*,6.22,*,*,5.52,7.81
Gulf,*,0,0,0,*,8.23,*,5.09,4.38,3.7
Hamilton,3.52,6.19,4.76,4.73,7.41,3.38,7.47,8.14,19.43,13.08
Hardee,12.6,4.81,5.82,10.5,7.21,9.07,7.24,9.44,8.27,5.77
Hendry,4.44,5.17,3.33,5.11,5.37,3.41,2.31,2.34,8.45,6.85
Hernando,3.25,1.9,1.6,0.93,0.65,0.7,1.04,0.96,1.31,1.48
Highlands,11.7,10.98,8.67,9.93,5.33,3.96,2.94,2.72,1.7,1.1
Hillsborough,1.24,1.41,1.3,1.35,1.25,1.39,1.18,1,1.2,1.38
Holmes,5.65,*,*,*,3,5.03,5.53,6.01,7.98,7.97
Indian River,4.75,5.27,2.63,1.38,1.61,2.45,1.81,0.63,1.33,1.68
Jackson,7.25,9.5,6.14,5.75,6.6,6.43,7.4,7.18,12.07,11.92
Jefferson,0,0,*,*,0,*,*,*,*,*
Lafayette,7.44,*,*,*,5.88,6.78,9.18,9.28,10.35,9.2
Lake,3.52,3.82,3.69,2.87,1.56,1.1,1.13,1.42,1.02,1.31
Lee,1.73,1.72,2.03,1.82,1.25,1.51,1.94,1.69,1.49,1.4
Leon,*,*,0.31,0.34,0.23,0.29,0.43,0.62,0.69,0.64
Levy,3.91,3.08,2.5,1.72,2.46,2.94,3.44,1.7,3.21,3.45
Liberty,*,*,*,8.46,*,6,*,7.03,7.93,*
Madison,3.67,6.78,3.12,6.19,6.2,5.72,7.25,4.13,10.43,9.72
Manatee,0.95,0.9,0.8,0.73,0.36,0.4,0.42,0.39,0.51,0.68
Marion,0.59,0.82,0.82,0.9,0.6,0.54,0.54,0.54,0.66,1.17
Martin,3.62,2.8,0.42,0.84,1.03,0.55,1.08,0.49,0.53,0.61
Miami-Dade,0.97,0.91,0.59,0.8,0.82,0.89,1.19,1.49,1.48,1.44
Monroe,5.32,6.08,7.08,6.35,6.92,8.09,6.89,6.79,5.63,6.94
Nassau,5.94,4.88,3.01,4.2,5.23,4.64,5.4,2.41,3.34,4.98
Okaloosa,1.79,2.35,1.91,2.06,1.94,2.92,2.51,1.52,0.98,1.43
Okeechobee,8.02,8.66,7.29,8.75,9,7.5,7.51,8.78,13.25,11.25
Orange,0.6,0.41,0.48,0.46,0.59,0.48,0.33,0.31,0.33,0.34
Osceola,0.7,0.95,1.15,0.5,0.53,0.94,0.84,1.14,1.17,1.49
Palm Beach,1.26,1.45,1.44,1.59,1.16,1.24,1.11,1.23,1.17,1.28
Pasco,1.53,1.64,1.37,1.6,1.13,1.26,0.89,0.77,0.97,0.75
Pinellas,1.56,1.47,1.25,1.4,1.47,1.53,1.59,1.64,1.44,1.71
Polk,2.2,1.61,1.36,1.2,1.21,1.2,1.06,1.15,1.38,1.51
Putnam,3.68,5.38,7.74,6,4.42,6.59,2.17,1.09,1.23,1.51
Santa Rosa,4.27,3.71,3.76,4.78,4.14,3.09,3.53,4.99,5.83,6.05
Sarasota,1.42,1.6,1.16,0.77,0.93,1.19,1.13,1.11,0.99,1.13
Seminole,0.5,0.47,0.4,0.37,0.13,0.36,0.19,0.28,0.41,0.55
St. Johns,0.5,1.01,0.69,0.75,0.85,0.88,0.77,1,0.65,0.52
St. Lucie,1.37,1.65,1.5,1.92,1.86,2.34,2.46,1.84,3.05,1.49
Sumter,3.38,2.95,2.28,2.97,2.09,0.86,1.12,2.1,1.45,1.62
Suwannee,6.24,6.62,7.18,6.08,5.61,5.97,7.36,15.96,19.45,17.14
Taylor,2.44,2.38,7.73,8.03,13.32,15.98,22.22,16.44,25.45,6.48
Union,4.06,5.36,7.76,4.48,3.9,4.5,*,3.25,*,4.43
Volusia,1.1,0.98,1.38,1.24,1.22,1.69,1.78,1.3,1.4,1.76
Wakulla,*,*,0,*,*,*,*,*,*,*
Walton,7,9.07,3.95,3.86,2.92,6.71,4.32,3.74,2.04,5.07
Washington,9.22,5.59,3.76,6.85,2.82,10.46,5.7,5.3,10.69,8.82
