County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Florida,26.65,24.46,23.53,23.24,21.9,22.12,21.37,21.69,21.1,21.91
Alachua,14.93,13.7,13.8,14.05,12.65,11.67,12.69,13.94,11.81,12.95
Baker,25.37,18.02,17.18,17.96,17.72,18.46,15.59,19.22,20.1,20.19
Bay,18.64,19.09,16.86,16.68,16.52,16.29,19.42,21.13,22.52,24.15
Bradford,21.43,24.24,20.12,25.21,18.34,20.72,14.27,19.2,17.58,20.38
Brevard,29.74,28.21,25.34,24.17,24.44,24.31,22.58,25.42,24.35,25.07
Broward,25.29,22.86,22.11,21.11,19.21,20.18,18.39,19.21,16.8,18.14
Calhoun,25.29,21.31,21.7,21.51,20.43,17.77,21.13,25.03,14.99,27.84
Charlotte,32.89,36.04,34.41,33.45,30.9,30.99,32.99,30.61,29.16,31.65
Citrus,45.59,48.58,42.23,48.49,50.78,45.85,43.9,34.14,39.6,41.35
Clay,19.4,18.38,18.56,17.67,16.21,18.21,15.87,19.19,15.76,19.43
Collier,20.91,20.21,19.8,21.6,17.68,18.6,17.95,17.77,16.99,17.29
Columbia,41.19,42.01,43.48,33.67,31.04,26.06,27.53,25.95,32.63,31.99
DeSoto,43.2,37.86,29.76,28.97,30.48,29.86,31.73,27.43,27.06,24.39
Dixie,23.35,20.93,22.55,24.15,24.5,24.99,18.86,32.14,20.57,20.07
Duval,17.38,16.74,15.11,14.95,14.87,15.24,15.34,17.06,16.62,18.07
Escambia,17.85,19.05,18.06,18.15,18.14,18.33,17.9,17.09,16.75,17.88
Flagler,44.33,39.92,33.09,29.52,32.46,31.52,24.83,22.99,20.54,26.75
Franklin,28.63,14.89,16.37,27.56,20.67,18.21,21.69,32.77,27.44,30.1
Gadsden,16.63,15.47,16.4,16.22,24.02,21.8,18.28,18.41,19.84,21.63
Gilchrist,26.9,26.45,18.07,28.11,20.18,18.29,21.21,16.99,19.34,21.74
Glades,21.2,17.76,24.93,15.75,11.7,16.32,14.86,25.78,18.88,23.45
Gulf,17.55,21.97,14.93,19.4,20.63,24.03,20.26,29.21,21.29,20.37
Hamilton,26.73,19.95,21.78,24.99,22.22,26.38,31.89,20.33,31.49,24.77
Hardee,25.21,20.75,20.02,27.12,15.88,22.88,20.27,22.84,31.24,17.69
Hendry,22.5,17.04,19.2,24.78,20.47,26.63,25.98,28.03,26.18,29.53
Hernando,45.5,40.42,36.51,35.85,31.74,27.79,34.79,32.42,33.16,30.9
Highlands,56.02,50.6,48.67,44.35,36.31,42.54,36.64,38.19,46.14,39.4
Hillsborough,20.05,18.81,19.51,20.38,20.23,19.2,18.13,17.57,16.97,18.14
Holmes,20.55,12.72,16.06,28.86,16.92,22.62,18.12,18.58,19.94,16.93
Indian River,37.47,31.19,24.97,26.02,27.47,33.44,31.68,30.3,25.48,29.06
Jackson,17.01,11.14,12.9,12.9,10.8,14.26,12.4,16.56,12.46,10.54
Jefferson,19.01,13.82,13.72,21.8,17.59,29.88,17.11,17.09,15.23,21.84
Lafayette,23.57,15.99,13.11,5.9,16.46,18.06,18.36,18.56,11.5,13.81
Lake,43.73,36.99,35.7,37.54,32.69,32.31,30.17,33.37,31.9,32.69
Lee,25.7,24.09,24.66,22.93,18.71,21.73,20.56,20.97,20.58,20.93
Leon,9.89,11.21,10.03,10.37,12.51,11.77,12.04,12.28,12.3,14.75
Levy,24.87,27.35,23.47,26.14,26.52,25.49,26.25,27.36,21.75,29.13
Liberty,25.58,16.3,16.08,28.94,27.57,25.22,29.91,28.12,26.09,25.49
Madison,24.13,18.28,16.64,23.78,21.17,24.98,29.51,24.79,28.14,22.55
Manatee,38.8,32.67,30.29,27.86,25.92,25.73,25.7,25.25,22.25,25.88
Marion,34.04,31.8,32,31.14,32.98,29.7,33.38,32.08,33.72,35.51
Martin,35.3,33.26,26.68,25.44,22.77,19.13,21.93,18.73,21.88,21.81
Miami-Dade,25.85,23.71,22.22,22.56,21.23,21.74,20.31,20.89,20.43,19.53
Monroe,27.85,25.6,18.83,24.34,17.65,21.67,23.83,23.95,20.46,18.48
Nassau,25.92,19.19,15.32,18.34,21.76,18.24,20.32,22.27,23.42,24.65
Okaloosa,19.35,20.22,20.53,19.11,21.16,18.61,22.2,21.76,17.7,20.99
Okeechobee,44.42,37.43,41.46,43.97,47.28,50.78,53.89,77.77,74.08,58.25
Orange,16.76,14.85,14.7,14.87,14.44,16.08,13.4,13.17,13.33,14.07
Osceola,18.51,16.62,16.53,16.84,16.83,17.05,18.92,20.31,21.53,23.38
Palm Beach,28.44,27.54,25.43,24.23,21.66,21.55,20.03,19.74,18.68,19.22
Pasco,39.8,34.32,34.18,34.6,30,29.44,30.94,29.07,28.54,30.33
Pinellas,30.53,27.6,31.01,30.21,28.44,25.89,26.77,29.76,27.16,27.69
Polk,32.97,28.54,28.57,26.29,26.2,27.51,26.33,24.74,24.69,26.07
Putnam,39.52,32.66,31.88,28.8,23.85,28,21.65,27.09,25.55,31.68
Santa Rosa,23.78,22.04,22.27,22.34,22.97,20.24,20.09,21.43,22.28,23.36
Sarasota,41.33,37.84,32.93,30.42,27.19,29.42,28.1,27.15,25.34,26.23
Seminole,16.81,15.23,14.1,13.84,13.32,14.03,12.52,12.4,13.19,13.41
St. Johns,25.34,19.64,19.21,17.59,18.96,21.6,16.67,16.77,18.5,19.44
St. Lucie,31.74,25.3,24.7,23.98,26.19,25.33,25.43,24.89,28,31.63
Sumter,38.1,37.25,30.78,35.46,32.87,35.76,37.97,44.82,46.28,45.99
Suwannee,41.62,30.51,38.65,29.71,30.88,31.51,25.93,32.15,35.28,33.58
Taylor,33.54,17.64,23.21,24.51,32.85,32.84,29.79,23.99,32.37,28.96
Union,24.31,14.74,30.33,28.23,25.37,28.91,26.53,20.07,32.64,20.27
Volusia,32.92,32.81,30.51,29.79,27.33,27.23,27.39,25.04,27.42,28.4
Wakulla,29.23,19.49,19.67,19.84,19.09,17.85,17.16,18.98,18.68,27.44
Walton,25.15,22.96,19.74,21.36,16.43,18.88,25.56,21.89,21.48,21.6
Washington,14.05,11.61,13.38,18.17,11.7,19.7,21.15,17.95,23.78,17.25
