County,2002,2007,2010
Florida,20.4,24.1,27.2
Alachua,14.7,25.4,21.6
Baker,24.4,32.4,36
Bay,20.9,24.8,28.2
Bradford,26.7,49.8,30.4
Brevard,17.2,23.3,30.7
Broward,21.1,20.4,28
Calhoun,26.8,28.4,34.7
Charlotte,19.1,24,21.7
Citrus,25,27.7,23.4
Clay,24.1,28,25.9
Collier,16.7,22,22.4
Columbia,23.1,27.4,30.9
DeSoto,20.4,32.7,33.4
Dixie,24.4,25.4,32.8
Duval,21.3,25.8,28.4
Escambia,22.4,28.7,29.7
Flagler,16.5,23.6,29.3
Franklin,23.8,25.9,27
Gadsden,32.8,34.7,36.6
Gilchrist,20.1,36,24.7
Glades,36.1,15.8,39.6
Gulf,31.2,26.3,23.2
Hamilton,24.6,36.9,44.8
Hardee,35.6,33.6,46.1
Hendry,37,30.2,38
Hernando,23,25.1,29.8
Highlands,23.6,25.3,30.3
Hillsborough,22.6,24.8,25.3
Holmes,31.6,29.6,28.2
Indian River,25.6,23.3,24.1
Jackson,27.9,30.4,29.2
Jefferson,32.5,31.4,36.3
Lafayette,24.4,26.7,41.7
Lake,20.8,25.8,29.8
Lee,16,23.9,27.3
Leon,19.3,25.7,21.7
Levy,29.1,27.7,32.1
Liberty,37.8,42.4,40.1
Madison,31.2,33.6,32.8
Manatee,19.5,21.5,22.5
Marion,19.7,25.9,33.7
Martin,14.4,17.5,21.1
Miami-Dade,19.8,26,29.3
Monroe,18.9,19.5,17.4
Nassau,23.5,21.4,23.8
Okaloosa,18.6,19.3,28.8
Okeechobee,29.4,34.4,38.1
Orange,23.3,23.7,27.8
Osceola,21.4,24.4,31.9
Palm Beach,16.4,14.5,19.4
Pasco,28.3,21.8,30.6
Pinellas,17.9,27.7,24
Polk,24.8,33.2,37.6
Putnam,28.2,31.5,31.3
Santa Rosa,17.4,21.3,29.8
Sarasota,15.2,17.2,20.8
Seminole,19.8,24.1,26.4
St. Johns,14.4,24.6,22
St. Lucie,20,28.5,31.4
Sumter,22.8,22.9,27.2
Suwannee,26.6,33,27.4
Taylor,28.9,31.6,40.2
Union,28.7,39.4,42
Volusia,19.7,25.8,26.8
Wakulla,25.8,29.1,37.5
Walton,21.6,29.7,28.6
Washington,28.9,27.9,35
