County,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Florida,26.3,23.7,30.2,26.3,27.1,28.5,36,33.4,31.4,34.6
Alachua,30.4,34.4,43.2,33.9,34.3,34.3,36.1,26.2,28.3,41.9
Baker,38.1,41.4,20.1,23.5,68.7,48.7,25.9,18.5,26,55.4
Bay,69,49.1,36.2,42.7,44.4,54,73.6,84.6,65.5,66.5
Bradford,29.6,72.3,46.4,31.6,62.4,62.2,89.9,21.1,27.8,52.4
Brevard,37.6,35.5,44.7,41.7,43,41.7,62.3,44.2,42.7,56.6
Broward,19.9,17.5,20.3,18.7,17.3,23.9,26.8,25.3,25.8,25.6
Calhoun,29.9,44.1,14.5,14.2,14,6.9,68.1,88.8,27.3,27.1
Charlotte,42.7,25.2,44.9,18.4,40.5,21.2,31.9,31.9,19.9,32.3
Citrus,22.2,29.4,18,13.1,32.7,27.5,38.1,41.8,29.8,68.6
Clay,42.5,50.4,66.5,49.4,46.1,57.5,57,55,53.8,65.9
Collier,17.2,26,37.6,26,28,26.2,27.3,41.6,38.8,27.8
Columbia,40.3,63.9,50.9,42.9,49.7,53.7,56.4,56.3,40,36.9
DeSoto,17.8,0,21,5.9,52.5,29,34.5,14.4,20.2,43.3
Dixie,75.7,27,32.4,25.4,56.4,12.4,91.9,18.3,6.1,0
Duval,39.5,38.6,43.6,38.6,53.8,62,53.1,56,42.1,57.4
Escambia,40.8,27.1,45.5,34.4,63,27.7,39.6,32.2,33,33
Flagler,12.5,21.1,25.3,16.2,21.8,12.8,29.5,12.5,21.7,17.3
Franklin,49,19.6,19.1,8.8,8.6,17.2,34.5,26,69.4,51.8
Gadsden,8.8,4.4,6.6,28.3,17.3,42.7,21.6,32.1,22.9,26.3
Gilchrist,45.7,57.3,56.3,36.9,36.1,35.9,47.5,59,70.7,23.4
Glades,52.2,8.4,73.4,32.3,48.3,23.6,23.4,54.4,47,15.6
Gulf,13,38.2,12.5,31.4,24.9,50,50,82.2,31.7,6.4
Hamilton,14.2,35.3,77.4,27.5,20.4,40.5,53.9,33.8,47.5,20.3
Hardee,18.5,7.4,0,0,32.8,54.3,72.2,36.3,25.3,54.4
Hendry,52.3,43.1,62.8,31,30.7,46,76.7,41.5,28.3,41.5
Hernando,25.1,19.4,20.4,27.5,17.7,18.7,24.4,20.8,18.5,40.1
Highlands,17.6,15.1,35.9,25.7,27.2,26.1,32.3,22.3,23.3,32.3
Hillsborough,21.9,19.7,25.1,22.8,23.8,20,27.6,24.5,28.1,26.9
Holmes,20.9,25.9,36,45.8,25.1,39.8,39.8,30.2,30.2,55.2
Indian River,22.3,12,28.8,19.6,21.3,30.5,43.6,37.7,31.7,50.8
Jackson,2.1,16.8,10.4,43.4,24.6,13.9,58,10.1,46.1,33.9
Jefferson,21.9,56.8,28.2,27.7,34.3,34.1,20.3,40.8,68.4,34.2
Lafayette,0,0,74.5,61.5,0,0,35.3,11.3,11.5,23.2
Lake,45.7,23.6,32.9,32,23.5,30.8,65.4,54.8,40.8,67.9
Lee,26.3,27.7,35.4,26.5,36.1,38.2,40.8,44.7,52.1,42.6
Leon,29.9,26.5,26.8,28.7,28.4,42.8,48.5,37.4,38.3,42.2
Levy,21.8,24,26.2,15.3,27.5,32,61.4,29.4,19.6,26.9
Liberty,27.4,0,12.8,0,12.4,0,0,0,12,23.5
Madison,37,20.9,5.3,20.9,10.4,0,5.2,0,20.7,41.3
Manatee,24.3,22.6,19,25.5,26.7,26.2,25.8,30.6,43.2,39.8
Marion,20.7,20.6,26.4,19,22.2,22.8,33.3,33.2,26.2,33.8
Martin,39,22.3,34,28,22.9,22.7,35,33.5,30.7,23.1
Miami-Dade,24.5,19.4,27.9,26.1,17.9,22.3,24.2,19.9,23.9,23.6
Monroe,19,25.5,41.4,37,26.7,20.3,34,23.3,24.8,34.6
Nassau,48.3,62.8,59.5,50.2,57.3,43.4,73,53.1,36.6,55.1
Okaloosa,36.5,34.7,54,36.5,36.2,37.4,36.4,63,57.7,70.2
Okeechobee,31.9,10.4,28.4,28,25.1,32.5,27.5,30,32.6,37.6
Orange,19.6,16.7,23.6,21.5,23.5,19.9,35.8,29.4,25.3,27.1
Osceola,19,16.1,23.9,19.3,26.4,17.2,33.1,34.2,28.7,21
Palm Beach,21.3,21.9,29,26.5,26.2,27.1,31.7,32.6,31.5,32.2
Pasco,28.3,25.5,25.3,23.1,24.6,27.6,33.7,35.7,30.4,33.1
Pinellas,17.4,17.8,22.2,18.5,23.7,23,31.5,28,24.7,22.7
Polk,30.4,25.7,34.4,30.5,23.3,24.3,39.6,40.3,35.8,43.6
Putnam,34.7,45.3,59.8,45.7,38.7,52,65.7,71.4,58.1,46.1
Santa Rosa,47.8,40.2,24.2,25.2,47.3,31.7,36.8,46,41.1,44.2
Sarasota,24.1,18.7,25.7,18.3,16,18.3,25.9,22.9,21.2,32.3
Seminole,27.5,19.7,27.1,25.2,17.9,21.2,30.6,28.6,21.9,22.7
St. Johns,25.2,28.3,47.3,32.4,38.2,49,56.1,48.3,41.3,44.1
St. Lucie,16.7,15.8,27.7,33.4,27.1,30.2,22.9,28.8,27.1,35.6
Sumter,24.3,32.3,12.7,10.3,0,22.9,30.8,56.2,21.6,23.9
Suwannee,32.6,40,57.2,38.1,29.7,56,29.2,52.5,27.5,15.7
Taylor,24.7,39.4,4.9,38.1,18.2,22.3,31.1,48.8,40,35.6
Union,43.6,61.8,27,20.1,12.9,12.8,52.1,57.8,77.6,90.6
Volusia,30.2,28.7,39.7,26.9,27.3,29.3,61.9,41.7,32.1,35.4
Wakulla,67.8,15.5,22.5,32.5,45.7,30.8,59.2,26,45.3,41.8
Walton,28.1,16.5,39.9,19.3,32,42.4,40.2,54.5,48.6,80.1
Washington,4.6,0,30.7,17.2,20.9,48.5,48.4,36.2,20.3,49
